rate_bit_per_use,retransmission,policy,mean_aoi,p95_aoi,mean_peak_aoi,delivery_rate_per_slot,min_user_deliveries,max_user_deliveries
0.7,fresh,max_age,8.11104,27.0,9.425101214574898,0.5928,296,297
0.7,fresh,max_snr,139.18416,610.0,5.9012,1.0,7,1533
0.7,fresh,age_reliability,4.53992,14.0,6.450458315146224,0.9164,286,529
0.7,chase,max_age,3.6556,7.0,6.972519795062879,0.8588,429,430
0.7,chase,max_snr,139.18416,610.0,5.9012,1.0,7,1533
0.7,chase,age_reliability,3.85472,9.0,6.381013197105151,0.9396,328,529
1.0,fresh,max_age,29.75584,106.0,23.351885098743267,0.2228,111,112
1.0,fresh,max_snr,139.19712,610.0,5.903161264505802,0.9996,7,1532
1.0,fresh,age_reliability,9.90448,45.0,6.919278252611586,0.8424,142,586
1.0,chase,max_age,5.2212,12.0,8.743924125666863,0.6748,337,338
1.0,chase,max_snr,139.2,610.0,5.910364145658264,0.9996,7,1532
1.0,chase,age_reliability,6.37744,24.0,6.629089301503095,0.9048,196,598
1.3,fresh,max_age,80.17368,237.0,72.67441860465117,0.0688,34,35
1.3,fresh,max_snr,139.65568,610.0499999999993,5.950707070707071,0.99,6,1525
1.3,fresh,age_reliability,26.25192,156.0,7.471443406022845,0.7704,66,664
1.3,chase,max_age,9.62712,29.0,12.91008174386921,0.4404,220,221
1.3,chase,max_snr,139.57664,611.0,5.9790322580645165,0.992,6,1525
1.3,chase,age_reliability,12.40328,58.04999999999927,6.957811775614279,0.8628,110,678
