mobility,correlation,update_interval,fronthaul_bits_per_slot,mean_rate,edge_rate
slow,0.995,1,768.0,3.4466694904246533,1.7910381745815553
slow,0.995,2,384.0,3.4417643186882065,1.783311028597262
slow,0.995,4,192.0,3.4270581370090643,1.7666626629812325
slow,0.995,8,96.0,3.402612891154086,1.7332624661175138
slow,0.995,16,48.0,3.3494219694159506,1.6813395308244827
slow,0.995,32,24.0,3.275382098506135,1.6151355962837497
fast,0.97,1,768.0,3.605241926661742,1.8169787661354289
fast,0.97,2,384.0,3.5743836264214495,1.7724413666521905
fast,0.97,4,192.0,3.516639659195118,1.692213833752366
fast,0.97,8,96.0,3.402916197292018,1.5612582251157872
fast,0.97,16,48.0,3.26143445219646,1.327435480539713
fast,0.97,32,24.0,3.075670265086047,1.0543856279318482
