sweep,rho,active_aps,bits,update_interval,mean_user_rate,edge_rate,mean_sum_rate,fronthaul_power_w,total_power_w,energy_efficiency
mobility,0.995,16,6,1,2.1565125946703336,0.8288443182797974,17.25210075736267,0.768,4.288,4.023344393041667
mobility,0.995,16,6,2,2.153052196326259,0.8259241986993894,17.224417570610072,0.384,3.904,4.411992205586596
mobility,0.995,16,6,4,2.1465156026558807,0.8210956859919076,17.172124821247046,0.192,3.712,4.626111212620432
mobility,0.995,16,6,8,2.1374817520856446,0.8044582873974052,17.099854016685157,0.096,3.616,4.728941929393019
mobility,0.995,16,6,16,2.0876432521926542,0.7464287765643807,16.701146017541234,0.048,3.568,4.680814466799673
mobility,0.995,16,6,32,2.046921014132887,0.6969375062850196,16.375368113063097,0.024,3.544,4.620589196688233
mobility,0.98,16,6,1,2.257547482414029,0.8582479154741528,18.060379859312228,0.768,4.288,4.21184231793662
mobility,0.98,16,6,2,2.232786312011582,0.8368304836977863,17.86229049609266,0.384,3.904,4.57538178690898
mobility,0.98,16,6,4,2.1949588227934256,0.7962713166658646,17.559670582347405,0.192,3.712,4.7305147042961755
mobility,0.98,16,6,8,2.127753218341901,0.6864085246731523,17.02202574673521,0.096,3.616,4.707418624650224
mobility,0.98,16,6,16,2.0200006402800885,0.5690513763500683,16.160005122240705,0.048,3.568,4.529149417668359
mobility,0.98,16,6,32,1.8991660893692606,0.36662737686849145,15.193328714954085,0.024,3.544,4.287056635145058
mobility,0.95,16,6,1,2.2705699724369004,0.8914723553981684,18.164559779495203,0.768,4.288,4.236138008277799
mobility,0.95,16,6,2,2.2273900066736485,0.8453008659930741,17.819120053389188,0.384,3.904,4.564323784167312
mobility,0.95,16,6,4,2.1434530486771206,0.7504097742012888,17.14762438941696,0.192,3.712,4.619510880769655
mobility,0.95,16,6,8,1.9951969190041259,0.5660611820254157,15.961575352033007,0.096,3.616,4.414152475672845
mobility,0.95,16,6,16,1.812156066000035,0.32524224186441714,14.49724852800028,0.048,3.568,4.063130192825191
mobility,0.95,16,6,32,1.6209776081866716,0.16012324340237977,12.967820865493373,0.024,3.544,3.659091666335602
joint,0.98,8,3,1,0.8119248725997581,0.3599391402013048,6.495398980798065,0.192,2.7520000000000002,2.360246722673715
joint,0.98,8,3,4,0.7842586165693225,0.3232344337308856,6.274068932554579,0.048,2.608,2.405701277820007
joint,0.98,8,3,8,0.7571138170527324,0.28092755914353557,6.056910536421859,0.024,2.584,2.344005625550255
joint,0.98,8,3,16,0.7111406583706352,0.21429140447599543,5.689125266965082,0.012,2.572,2.2119460602508094
joint,0.98,8,4,1,1.1823021772376925,0.49396045746874023,9.458417417901542,0.256,2.816,3.3588130035161727
joint,0.98,8,4,4,1.1437402855768943,0.450185168063912,9.149922284615156,0.064,2.624,3.487013065783215
joint,0.98,8,4,8,1.097344801758858,0.38390848719509996,8.778758414070865,0.032,2.592,3.3868666720952407
joint,0.98,8,4,16,1.0133938755688232,0.2928110833220521,8.107151004550586,0.016,2.576,3.1471859489715004
joint,0.98,8,6,1,1.8233248350452373,0.7134737338217437,14.5865986803619,0.384,2.944,4.954687051753363
joint,0.98,8,6,4,1.7783891946605268,0.636176991775485,14.227113557284213,0.096,2.656,5.356593959820863
joint,0.98,8,6,8,1.7284551757614715,0.5543682659551245,13.827641406091772,0.048,2.608,5.302009741599606
joint,0.98,8,6,16,1.6185580807140512,0.4584408753096223,12.94846464571241,0.024,2.584,5.011015729764864
joint,0.98,12,3,1,1.0369744872883397,0.45581138544066196,8.295795898306718,0.288,3.328,2.4927271329046627
joint,0.98,12,3,4,1.0091852041463674,0.40471755206614707,8.073481633170939,0.072,3.112,2.5943064373942604
joint,0.98,12,3,8,0.9764860360453234,0.35674563871323794,7.811888288362587,0.036,3.076,2.5396255813922584
joint,0.98,12,3,16,0.9087098366627793,0.24250123607467974,7.269678693302235,0.018,3.058,2.3772657597456623
joint,0.98,12,4,1,1.4883035082074085,0.639881109347745,11.906428065659268,0.384,3.424,3.4773446453444126
joint,0.98,12,4,4,1.448965511033433,0.5730111016879105,11.591724088267465,0.096,3.136,3.696340589371003
joint,0.98,12,4,8,1.3928526941393624,0.49500945957203374,11.142821553114901,0.048,3.088,3.6084266687548254
joint,0.98,12,4,16,1.2835558469713217,0.3598185592602875,10.268446775770572,0.024,3.064,3.35132074927238
joint,0.98,12,6,1,2.1857711895149077,0.9058005451726875,17.48616951611926,0.576,3.616,4.835776967953335
joint,0.98,12,6,4,2.1368789129670684,0.8505480154770562,17.095031303736548,0.144,3.184,5.369042494892131
joint,0.98,12,6,8,2.0769082908840235,0.765028576338212,16.615266327072188,0.072,3.112,5.339095863455073
joint,0.98,12,6,16,1.9411373989298364,0.6065079444159535,15.529099191438691,0.036,3.076,5.0484717787512
