delay_steps,effective_correlation,method,mean_sum_rate,p10_sum_rate,samples
0,1.0,random,2.3745386077835113,2.086911447801614,48
0,1.0,naive,3.459275453492918,3.0953398738920064,48
0,1.0,robust,3.459275453492918,3.0953398738920064,48
0,1.0,ideal,3.2735226346198494,2.898375573406245,12
2,0.9603999999999999,random,2.379331286768541,1.8545023780483019,48
2,0.9603999999999999,naive,3.1762177519830863,2.5239017426638837,48
2,0.9603999999999999,robust,3.1595001761677,2.5551203735838373,48
2,0.9603999999999999,ideal,3.235755020892324,2.6793418324080545,12
5,0.9039207967999999,random,2.324193681531065,1.8362424136323945,48
5,0.9039207967999999,naive,2.8252560139596525,2.3902113243448944,48
5,0.9039207967999999,robust,2.846520118013851,2.315991225102503,48
5,0.9039207967999999,ideal,3.0162777989466547,2.667040954879699,12
10,0.8170728068875467,random,2.368587178494465,1.9035479257983363,48
10,0.8170728068875467,naive,2.7009902902200245,2.0900141902445477,48
10,0.8170728068875467,robust,2.5968879254448547,2.094827230282772,48
10,0.8170728068875467,ideal,3.24374959660623,2.7829190662561407,12
20,0.6676079717550942,random,2.2195864960469573,1.5606489894586162,48
20,0.6676079717550942,naive,2.4933913392750124,1.7953855345016667,48
20,0.6676079717550942,robust,2.438795197334127,1.8763824651167422,48
20,0.6676079717550942,ideal,3.197083165665164,2.5987417049654504,12
