csi_bits,method,mean_sum_rate,p10_sum_rate
2,naive,2.834772971149554,2.400108836757058
2,robust,2.8601902301421886,2.4256559626733933
3,naive,3.022302182164189,2.678018271839583
3,robust,3.024724038486852,2.6808571251564697
4,naive,3.154910213340588,2.788664240112784
4,robust,3.1191554253160576,2.7555529221559945
6,naive,3.1912550103535335,2.8387643747865305
6,robust,3.1249964461635313,2.7706980538444195
8,naive,3.189743031298773,2.8217289427429098
8,robust,3.1368474780558633,2.7872043139397915
