channel_nmse,method,mean_sum_rate,p10_sum_rate
0,naive,5.074459559729646,5.074459559729645
0,robust,5.074459559729646,5.074459559729645
0,random,3.1542675918562972,2.5314022550134134
0.02,naive,4.866522469715194,4.656662762163313
0.02,robust,4.808802174493127,4.586260899580929
0.02,random,3.202119710880257,2.5461017570550952
0.05,naive,4.775961789493672,4.444164113628611
0.05,robust,4.977895812204864,4.662753907812154
0.05,random,3.2290412697740813,2.667768668154775
0.1,naive,4.597305306617676,4.106078142918572
0.1,robust,4.64610695519223,4.135990892031454
0.1,random,3.32258265949002,2.7482521003971656
0.2,naive,4.023554175976397,3.55951839930307
0.2,robust,4.562800776508794,4.014911051471942
0.2,random,3.382037495549438,2.8306569794276375
