snr_db,nmse
0.000000000000000000e+00,6.555513246713534636e-01
3.000000000000000000e+00,3.820183233390825883e-01
6.000000000000000000e+00,2.272973627943217778e-01
9.000000000000000000e+00,1.515908634666084942e-01
1.200000000000000000e+01,1.170834959354637161e-01
1.500000000000000000e+01,9.661821049701671549e-02
1.800000000000000000e+01,8.770971942506596009e-02
2.100000000000000000e+01,8.371525201566508423e-02
2.400000000000000000e+01,8.173028914037441806e-02
2.700000000000000000e+01,8.032136784962919107e-02
3.000000000000000000e+01,7.972168482297695147e-02
