snr_db,receiver,ber,ci95_low,ci95_high,frame_error_rate,bit_errors,bits
0,Hard K=4 + hard Viterbi,0.312012987012987,0.30389140853679236,0.32025176017585916,1.0,3844,12320
0,Soft K=4 + soft Viterbi,0.23660714285714285,0.22918531088634453,0.2441931789550001,1.0,2915,12320
0,Exact max-log + soft Viterbi,0.1974025974025974,0.19046879515426668,0.20452504463880972,1.0,2432,12320
2,Hard K=4 + hard Viterbi,0.21599025974025973,0.2088129606433097,0.22334461592213403,1.0,2661,12320
2,Soft K=4 + soft Viterbi,0.12678571428571428,0.12102640088798719,0.1327776965821215,1.0,1562,12320
2,Exact max-log + soft Viterbi,0.08952922077922078,0.08461484952696101,0.09469948733827165,1.0,1103,12320
4,Hard K=4 + hard Viterbi,0.11428571428571428,0.10878748503749006,0.12002440517085194,1.0,1408,12320
4,Soft K=4 + soft Viterbi,0.05527597402597403,0.05137766215896219,0.059451535326624054,1.0,681,12320
4,Exact max-log + soft Viterbi,0.0325487012987013,0.02955805243375626,0.03583076821225418,1.0,401,12320
6,Hard K=4 + hard Viterbi,0.054464285714285715,0.0505942132425609,0.058612113641611924,1.0,671,12320
6,Soft K=4 + soft Viterbi,0.01461038961038961,0.012637884412236823,0.016885495942537004,0.9642857142857143,180,12320
6,Exact max-log + soft Viterbi,0.007548701298701299,0.006166363613326186,0.009238042509150874,0.8571428571428571,93,12320
8,Hard K=4 + hard Viterbi,0.010714285714285714,0.009042733079908261,0.012690868388081141,0.9285714285714286,132,12320
8,Soft K=4 + soft Viterbi,0.003896103896103896,0.002940053115168961,0.0051614353009477015,0.42857142857142855,48,12320
8,Exact max-log + soft Viterbi,0.0002435064935064935,8.281756001519118e-05,0.0007157531497410737,0.07142857142857142,3,12320
10,Hard K=4 + hard Viterbi,0.0031655844155844158,0.0023166579790235677,0.004324246895821015,0.5714285714285714,39,12320
10,Soft K=4 + soft Viterbi,0.0005681818181818182,0.00027525877226861376,0.0011724601780530195,0.14285714285714285,7,12320
10,Exact max-log + soft Viterbi,8.116883116883117e-05,1.4328435493566206e-05,0.0004596681539800144,0.03571428571428571,1,12320
