arrival_probability,policy,arrivals,goodput,deadline_miss_rate,nack_rate,mean_delay,p95_delay,deadline_drops,maxround_drops
0.08,pf,375,0.9925675675675676,0.0026666666666666666,0.15765765765765766,1.4973262032085561,3.0,1,0
0.08,edf,375,0.9889390519187359,0.0,0.15349887133182843,1.4773333333333334,3.0,0,0
0.08,risk,375,1.0167042889390518,0.0,0.15349887133182843,1.4586666666666666,3.0,0,0
0.12,pf,552,0.9823338735818476,0.03260869565217391,0.13614262560777957,1.7429643527204504,5.0,18,0
0.12,edf,552,0.9972447325769854,0.016304347826086956,0.12155591572123177,1.8763837638376384,5.0,9,0
0.12,risk,552,1.0077922077922077,0.019927536231884056,0.12337662337662338,1.7537037037037038,5.0,11,0
0.16,pf,820,0.9424799081515499,0.05731707317073171,0.11251435132032148,1.9223803363518759,5.0,47,0
0.16,edf,820,0.9432402234636872,0.01951219512195122,0.10167597765363129,2.361940298507463,5.0,16,0
0.16,risk,820,0.9501126126126126,0.025609756097560974,0.10022522522522523,2.178973717146433,6.0,21,0
0.2,pf,992,0.9732732732732733,0.09274193548387097,0.0990990990990991,2.097777777777778,5.0,92,0
0.2,edf,992,0.9284200385356455,0.05040322580645161,0.09248554913294797,2.774946921443737,6.0,50,0
0.2,risk,992,0.9662745098039216,0.0625,0.08823529411764706,2.423655913978495,6.0,62,0
