blocklength,scheme,goodput_bits_per_use,nack_rate,p95_delay_slots,drops,mean_attempts
80,Open-loop,0.297,0.4623229461756374,5.0,137,1.8598524762908324
80,OLLA only,0.2552,0.12243221035332785,3.0,18,1.1395131086142323
80,HARQ only,0.3603,0.22277936962750716,3.0,1,1.2866359447004607
80,FBL+OLLA+HARQ,0.2881,0.08199492814877431,3.0,0,1.0893186003683242
120,Open-loop,0.2868,0.5227032734952481,6.0,182,2.0951327433628317
120,OLLA only,0.2602,0.12128712871287128,2.7999999999999545,21,1.1380281690140845
120,HARQ only,0.3695,0.24478442280945759,3.0,0,1.3241252302025783
120,FBL+OLLA+HARQ,0.289,0.08892617449664429,3.0,0,1.0976058931860038
240,Open-loop,0.2715,0.5893115069812229,8.0,233,2.4349355216881596
240,OLLA only,0.2489,0.145748987854251,3.0,31,1.1706161137440758
240,HARQ only,0.3808,0.2788844621513944,4.0,0,1.3867403314917126
240,FBL+OLLA+HARQ,0.293,0.09121338912133892,3.0,0,1.1003683241252302
480,Open-loop,0.2603,0.6463576158940397,9.0,285,2.8277153558052435
480,OLLA only,0.2458,0.1630695443645084,3.0,39,1.1948424068767909
480,HARQ only,0.3877,0.3029525032092426,4.0,0,1.434622467771639
480,FBL+OLLA+HARQ,0.2928,0.095,3.0,0,1.1049723756906078
