snr_db,mode,goodput,nack_rate,drops,mean_delay,p95_delay,mean_rounds
-2,chase,0.45176174496644295,0.6988255033557047,10,6.105849582172702,14.099999999999966,3.32033426183844
-2,ir,0.580797481636936,0.6128016789087093,0,3.9430894308943087,8.0,2.5826558265582658
0,chase,0.6698717948717948,0.5534188034188035,0,2.8923444976076556,5.0,2.2392344497607657
0,ir,0.7428909952606635,0.504739336492891,0,2.4665071770334928,4.0,2.0191387559808613
2,chase,0.928679817905918,0.38088012139605465,0,1.7794117647058822,3.0,1.6151960784313726
2,ir,0.928679817905918,0.38088012139605465,0,1.7794117647058822,3.0,1.6151960784313726
4,chase,1.3514150943396226,0.09905660377358491,0,1.1544502617801047,2.0,1.1099476439790577
4,ir,1.3514150943396226,0.09905660377358491,0,1.1544502617801047,2.0,1.1099476439790577
6,chase,1.496124031007752,0.002583979328165375,0,1.0025906735751295,1.0,1.0025906735751295
6,ir,1.496124031007752,0.002583979328165375,0,1.0025906735751295,1.0,1.0025906735751295
