snr_db,curve,blocklength,rate_bits_per_complex_use,target_error_probability
-5,Shannon,nan,0.39640916116311387,0.001
-4,Shannon,nan,0.4834749533456802,0.001
-3,Shannon,nan,0.5861039264453475,0.001
-2,Shannon,nan,0.7057190507735135,0.001
-1,Shannon,nan,0.8434438252036525,0.001
0,Shannon,nan,1.0,0.001
1,Shannon,nan,1.1756366346923888,0.001
2,Shannon,nan,1.3701046697509862,0.001
3,Shannon,nan,1.5826823549115563,0.001
4,Shannon,nan,1.8122461913006254,0.001
5,Shannon,nan,2.057373208606795,0.001
6,Shannon,nan,2.3164561796262597,0.001
7,Shannon,nan,2.587814373562031,0.001
8,Shannon,nan,2.8697872191702856,0.001
9,Shannon,nan,3.160804423913024,0.001
10,Shannon,nan,3.4594316186372973,0.001
11,Shannon,nan,3.7643943670428617,0.001
12,Shannon,nan,4.074585234905427,0.001
13,Shannon,nan,4.389058967363045,0.001
14,Shannon,nan,4.707020262728835,0.001
15,Shannon,nan,5.0278076733505195,0.001
16,Shannon,nan,5.350876154248603,0.001
17,Shannon,nan,5.675779901804884,0.001
18,Shannon,nan,6.00215644400198,0.001
19,Shannon,nan,6.329712459441909,0.001
20,Shannon,nan,6.658211482751795,0.001
-5,n=100,100,0.1397437708128792,0.001
-4,n=100,100,0.20512146230567763,0.001
-3,n=100,100,0.2868138231918281,0.001
-2,n=100,100,0.38674594141365354,0.001
-1,n=100,100,0.5064920262928843,0.001
0,n=100,100,0.6471223947760458,0.001
1,n=100,100,0.8090943965765613,0.001
2,n=100,100,0.9922109837914035,0.001
3,n=100,100,1.1956557655465214,0.001
4,n=100,100,1.4180952250259586,0.001
5,n=100,100,1.6578243312072944,0.001
6,n=100,100,1.912925999014399,0.001
7,n=100,100,2.181418233938875,0.001
8,n=100,100,2.4613719940443954,0.001
9,n=100,100,2.7509932197433455,0.001
10,n=100,100,3.0486706967480233,0.001
11,n=100,100,3.352996107540734,0.001
12,n=100,100,3.6627641454534925,0.001
13,n=100,100,3.9769600159079723,0.001
14,n=100,100,4.2947401398306075,0.001
15,n=100,100,4.615410177688159,0.001
16,n=100,100,4.938403013361542,0.001
17,n=100,100,5.263258213819186,0.001
18,n=100,100,5.589603705626162,0.001
19,n=100,100,5.917139915724068,0.001
20,n=100,100,6.24562633399308,0.001
-5,n=300,300,0.24275886597212062,0.001
-4,n=300,300,0.3173030273832378,0.001
-3,n=300,300,0.40784424178551226,0.001
-2,n=300,300,0.5160953772397215,0.001
-1,n=300,300,0.643440150417967,0.001
0,n=300,300,0.7908015566523348,0.001
1,n=300,300,0.958548911866223,0.001
2,n=300,300,1.1464631854565364,0.001
3,n=300,300,1.3537679863774859,0.001
4,n=300,300,1.5792185618399706,0.001
5,n=300,300,1.8212290937051558,0.001
6,n=300,300,2.078013458243239,0.001
7,n=300,300,2.3477169899723522,0.001
8,n=300,300,2.6285241160220862,0.001
9,n=300,300,2.9187353518881105,0.001
10,n=300,300,3.216814226831321,0.001
11,n=300,300,3.52140900819454,0.001
12,n=300,300,3.8313557550717627,0.001
13,n=300,300,4.1456690638270715,0.001
14,n=300,300,4.463525759811386,0.001
15,n=300,300,4.784245405236103,0.001
16,n=300,300,5.107270212343343,0.001
17,n=300,300,5.432145931219157,0.001
18,n=300,300,5.75850454646516,0.001
19,n=300,300,6.0860491272855395,0.001
20,n=300,300,6.414540873071684,0.001
-5,n=1000,1000,0.3097224712980025,0.001
-4,n=1000,1000,0.3899298838502953,0.001
-3,n=1000,1000,0.48593811884172133,0.001
-2,n=1000,1000,0.5993289301203835,0.001
-1,n=1000,1000,0.7313683437179285,0.001
0,n=1000,1000,0.8828883363618404,0.001
1,n=1000,1000,1.0542038347213918,0.001
2,n=1000,1000,1.2450822267873018,0.001
3,n=1000,1000,1.4547718343067182,0.001
4,n=1000,1000,1.6820827449013924,0.001
5,n=1000,1000,1.9255027928313984,0.001
6,n=1000,1000,2.183326765230183,0.001
7,n=1000,1000,2.4537786633503162,0.001
8,n=1000,1000,2.735113018060644,0.001
9,n=1000,1000,3.0256887754689594,0.001
10,n=1000,1000,3.3240156430804184,0.001
11,n=1000,1000,3.6287768476364715,0.001
12,n=1000,1000,3.938834004928604,0.001
13,n=1000,1000,4.253219869705709,0.001
14,n=1000,1000,4.571123873630763,0.001
15,n=1000,1000,4.891874167725455,0.001
16,n=1000,1000,5.214918727503122,0.001
17,n=1000,1000,5.5398071231188535,0.001
18,n=1000,1000,5.866173846320449,0.001
19,n=1000,1000,6.193723598761315,0.001
20,n=1000,1000,6.522218636007285,0.001
-5,n=10000,10000,0.3680850796521805,0.001
-4,n=10000,10000,0.45298206176577005,0.001
-3,n=10000,10000,0.5535173736440857,0.001
-2,n=10000,10000,0.6711641973616177,0.001
-1,n=10000,10000,0.8070911028366659,0.001
0,n=10000,10000,0.9620546970016948,0.001
1,n=10000,10000,1.136324868404896,0.001
2,n=10000,10000,1.329657758679118,0.001
3,n=10000,10000,1.5413221534991428,0.001
4,n=10000,10000,1.7701735521972488,0.001
5,n=10000,10000,2.014760778390935,0.001
6,n=10000,10000,2.273445619089164,0.001
7,n=10000,10000,2.5445172171238055,0.001
8,n=10000,10000,2.826288154181787,0.001
9,n=10000,10000,3.1171657610201464,0.001
10,n=10000,10000,3.41569798397246,0.001
11,n=10000,10000,3.720596998616739,0.001
12,n=10000,10000,4.030745583484323,0.001
13,n=10000,10000,4.345191529741627,0.001
14,n=10000,10000,4.663134707963102,0.001
15,n=10000,10000,4.983910381308373,0.001
16,n=10000,10000,5.306971297683987,0.001
17,n=10000,10000,5.631870190530403,0.001
18,n=10000,10000,5.958243627688488,0.001
19,n=10000,10000,6.285797662594215,0.001
20,n=10000,10000,6.614295425400013,0.001
