snr_db,scheme,success_probability,packet_error_rate,average_transmissions,payload_goodput_bits_per_qpsk_symbol,mean_success_latency_attempts,successful_packets,transmissions
-4,Type-I HARQ,0.06666666666666667,0.9333333333333333,3.925,0.015267539779097785,2.875,8,471
-4,Chase combining,0.43333333333333335,0.5666666666666667,3.6416666666666666,0.10696012135859924,3.173076923076923,52,437
-2,Type-I HARQ,0.275,0.725,3.5,0.07062600321027288,2.1818181818181817,33,420
-2,Chase combining,0.6666666666666666,0.33333333333333337,3.058333333333333,0.19594036065272633,2.5875,80,367
0,Type-I HARQ,0.5916666666666667,0.4083333333333333,2.8583333333333334,0.18606479509942017,2.0704225352112675,71,343
0,Chase combining,0.9166666666666666,0.08333333333333337,2.5166666666666666,0.3274053128953047,2.381818181818182,110,302
2,Type-I HARQ,0.8166666666666667,0.18333333333333335,2.316666666666667,0.31687009942607713,1.9387755102040816,98,278
2,Chase combining,0.9583333333333334,0.04166666666666663,2.025,0.4253941831969298,1.9391304347826086,115,243
4,Type-I HARQ,0.9416666666666667,0.05833333333333335,1.7,0.49790702797973124,1.5575221238938053,113,204
4,Chase combining,0.9833333333333333,0.01666666666666672,1.55,0.5702549232813822,1.5084745762711864,118,186
6,Type-I HARQ,0.9916666666666667,0.008333333333333304,1.4166666666666667,0.6292134831460674,1.3949579831932772,119,170
6,Chase combining,1.0,0.0,1.3666666666666667,0.6577144423129625,1.3666666666666667,120,164
