doppler_bins,ici_energy_fraction,receiver,ber,ci95_low,ci95_high
0.0,2.2204460492503126e-16,One-tap,0.0006009615384615385,0.0003890806657257767,0.0009281188190432963
0.0,2.2204460492503126e-16,Banded ±1,0.0006009615384615385,0.0003890806657257767,0.0009281188190432963
0.0,2.2204460492503126e-16,Banded ±2,0.0006009615384615385,0.0003890806657257767,0.0009281188190432963
0.0,2.2204460492503126e-16,Banded ±4,0.0006009615384615385,0.0003890806657257767,0.0009281188190432963
0.0,2.2204460492503126e-16,Full ICI,0.0006009615384615385,0.0003890806657257767,0.0009281188190432963
0.5,0.1308466538277344,One-tap,0.020192307692307693,0.018735564965885115,0.021759804551130083
0.5,0.1308466538277344,Banded ±1,0.0029146634615384616,0.002390049040640734,0.0035540202178751977
0.5,0.1308466538277344,Banded ±2,0.002313701923076923,0.0018517988501885584,0.0028904860515100066
0.5,0.1308466538277344,Banded ±4,0.0015625,0.00119181729783611,0.0020482371578407483
0.5,0.1308466538277344,Full ICI,9.014423076923077e-05,3.06576361659198e-05,0.0002650251453083922
1.0,0.23281224705993625,One-tap,0.026802884615384614,0.025121547267051368,0.02859345017495485
1.0,0.23281224705993625,Banded ±1,0.0012620192307692308,0.0009338536915673394,0.001705308585700836
1.0,0.23281224705993625,Banded ±2,0.0012319711538461538,0.0009083191255925657,0.001670753933834741
1.0,0.23281224705993625,Banded ±4,0.0012920673076923077,0.0009594406514182452,0.0017398108436907983
1.0,0.23281224705993625,Full ICI,0.0,0.0,0.00011541512795170715
1.5,0.23603857253243882,One-tap,0.04212740384615385,0.04002152209425635,0.0443389764465927
1.5,0.23603857253243882,Banded ±1,0.014302884615384615,0.013082109056199344,0.01563577376400567
1.5,0.23603857253243882,Banded ±2,0.001201923076923077,0.0008828388355815836,0.0016361450060048553
1.5,0.23603857253243882,Banded ±4,0.000811298076923077,0.0005576573353380808,0.0011801666743170704
1.5,0.23603857253243882,Full ICI,0.0,0.0,0.00011541512795170715
2.0,0.24664079464030836,One-tap,0.035757211538461536,0.033815240434515066,0.0378063439240699
2.0,0.24664079464030836,Banded ±1,0.014453125,0.013225754816338722,0.015792574093070635
2.0,0.24664079464030836,Banded ±2,0.0005408653846153846,0.0003421645732963606,0.000854856475790976
2.0,0.24664079464030836,Banded ±4,0.0006009615384615385,0.0003890806657257767,0.0009281188190432963
2.0,0.24664079464030836,Full ICI,0.0,0.0,0.00011541512795170715
