training_symbols,receiver,ber,ci95_low,ci95_high,band_matrix_nmse,ici_energy_fraction
4,One-tap,0.043331473214285716,0.04186528605454776,0.044846605109815,0.3306350924035341,0.23603857253243882
4,Estimated band ±2,0.19070870535714285,0.1878493231180857,0.19360123676197552,0.3306350924035341,0.23603857253243882
4,Genie band ±2,0.00107421875,0.0008596690184764537,0.001342242257600559,0.3306350924035341,0.23603857253243882
4,Genie full,0.0,3.3881317890172014e-21,5.358890849761281e-05,0.3306350924035341,0.23603857253243882
6,One-tap,0.0435546875,0.042084829420557086,0.04507346639161438,0.16327825171969138,0.23603857253243882
6,Estimated band ±2,0.05087890625,0.049294123424765496,0.052511824893629155,0.16327825171969138,0.23603857253243882
6,Genie band ±2,0.0011300223214285715,0.0009093639521937028,0.0014041484858354867,0.16327825171969138,0.23603857253243882
6,Genie full,0.0,3.3881317890172014e-21,5.358890849761281e-05,0.16327825171969138,0.23603857253243882
8,One-tap,0.04387555803571429,0.04240044176968593,0.04539956072371056,0.06339092123340562,0.23603857253243882
8,Estimated band ±2,0.014760044642857142,0.013902885599939315,0.015669210644909014,0.06339092123340562,0.23603857253243882
8,Genie band ±2,0.0011997767857142858,0.0009716891858602315,0.001481324704609179,0.06339092123340562,0.23603857253243882
8,Genie full,0.0,3.3881317890172014e-21,5.358890849761281e-05,0.06339092123340562,0.23603857253243882
12,One-tap,0.04341517857142857,0.04194761355558026,0.04493167935171076,0.028098881290986588,0.23603857253243882
12,Estimated band ±2,0.0047712053571428575,0.004292602489872402,0.0053028857655363125,0.028098881290986588,0.23603857253243882
12,Genie band ±2,0.0011997767857142858,0.0009716891858602315,0.001481324704609179,0.028098881290986588,0.23603857253243882
12,Genie full,0.0,3.3881317890172014e-21,5.358890849761281e-05,0.028098881290986588,0.23603857253243882
20,One-tap,0.04326171875,0.04179668096353663,0.044775708748385906,0.013941258417671389,0.23603857253243882
20,Estimated band ±2,0.0024135044642857144,0.002079980821543161,0.0028003583413860906,0.013941258417671389,0.23603857253243882
20,Genie band ±2,0.0013113839285714285,0.0010718419682582243,0.0016043742461155387,0.013941258417671389,0.23603857253243882
20,Genie full,0.0,3.3881317890172014e-21,5.358890849761281e-05,0.013941258417671389,0.23603857253243882
32,One-tap,0.04295479910714286,0.04149483115331083,0.04446375216787474,0.00807132310267412,0.23603857253243882
32,Estimated band ±2,0.0016043526785714285,0.0013368657856813928,0.0019252565289412976,0.00807132310267412,0.23603857253243882
32,Genie band ±2,0.001088169642857143,0.0008720782945309629,0.0013577332720340941,0.00807132310267412,0.23603857253243882
32,Genie full,0.0,3.3881317890172014e-21,5.358890849761281e-05,0.00807132310267412,0.23603857253243882
