ibo_db,ber,evm_percent,output_papr_db,guard_to_occupied_db
0,0.010215277777777778,20.117754702463873,2.657957037198087,-14.060367633145344
1,0.004329861111111111,17.471697348906524,3.131910965917297,-15.241568001848172
2,0.0012916666666666667,14.873218225579016,3.6623429859979693,-16.60268976370219
3,0.00022569444444444443,12.383745187997544,4.246703017614609,-18.163115204071506
4,1.388888888888889e-05,10.063679017380577,4.878587180557133,-19.9414154561176
5,0.0,7.9668337542241465,5.546774962227285,-21.95395370162613
6,0.0,6.134530667229596,6.234506139449297,-24.21317201201304
7,0.0,4.590506387995152,6.919420411524589,-26.725751023016997
8,0.0,3.338155266384474,7.574806199680584,-29.490880953408176
9,0.0,2.3612496460058736,8.172832349296941,-32.498859950436
10,0.0,1.628059497679766,8.689742363940399,-35.73040749865875
