pilot_count,snr_db,channel_nmse,payload_fraction
4.000000000000000000e+00,6.000000000000000000e+00,4.754198016525515436e-01,9.230769230769231282e-01
4.000000000000000000e+00,1.200000000000000000e+01,3.678788234071529994e-01,9.230769230769231282e-01
4.000000000000000000e+00,1.800000000000000000e+01,3.402423324868855681e-01,9.230769230769231282e-01
4.000000000000000000e+00,2.400000000000000000e+01,3.339454333120656648e-01,9.230769230769231282e-01
4.000000000000000000e+00,3.000000000000000000e+01,3.316396205803802677e-01,9.230769230769231282e-01
8.000000000000000000e+00,6.000000000000000000e+00,3.196427017869760689e-01,8.461538461538461453e-01
8.000000000000000000e+00,1.200000000000000000e+01,2.217396630319457274e-01,8.461538461538461453e-01
8.000000000000000000e+00,1.800000000000000000e+01,1.966389592528826613e-01,8.461538461538461453e-01
8.000000000000000000e+00,2.400000000000000000e+01,1.902844111649259484e-01,8.461538461538461453e-01
8.000000000000000000e+00,3.000000000000000000e+01,1.885482610199748776e-01,8.461538461538461453e-01
1.200000000000000000e+01,6.000000000000000000e+00,2.454047093521733447e-01,7.692307692307692735e-01
1.200000000000000000e+01,1.200000000000000000e+01,1.541135172098878070e-01,7.692307692307692735e-01
1.200000000000000000e+01,1.800000000000000000e+01,1.298061148790640440e-01,7.692307692307692735e-01
1.200000000000000000e+01,2.400000000000000000e+01,1.235723802517988690e-01,7.692307692307692735e-01
1.200000000000000000e+01,3.000000000000000000e+01,1.222725911568401796e-01,7.692307692307692735e-01
