update_interval,scheme,mean_sum_rate,edge_rate,control_bits_per_slot
1,fast,4.6722000006620075,1.059144123625739,12.0
1,two_timescale,4.587242643089803,0.9917452971377322,12.0
1,stale,3.93806427117223,0.9562910098511707,0.0
1,random,3.1332982401391067,0.7257544348133796,0.0
4,fast,4.6722000006620075,1.059144123625739,12.0
4,two_timescale,4.558300122056164,1.0494096777859334,3.0
4,stale,3.93806427117223,0.9562910098511707,0.0
4,random,3.1332982401391067,0.7257544348133796,0.0
8,fast,4.6722000006620075,1.059144123625739,12.0
8,two_timescale,4.399284598138626,0.9204531658394579,1.6
8,stale,3.93806427117223,0.9562910098511707,0.0
8,random,3.1332982401391067,0.7257544348133796,0.0
16,fast,4.6722000006620075,1.059144123625739,12.0
16,two_timescale,4.0779216366424516,0.9079486799004156,0.8
16,stale,3.93806427117223,0.9562910098511707,0.0
16,random,3.1332982401391067,0.7257544348133796,0.0
