frame_slots,access,decoded_fraction,empty_round_fraction,final_loss,channel_uses,loss_reduction_per_1000_uses
6,aloha,0.06597453016294236,0.2857142857142857,0.02203639431296527,210,2.7224714505838468
6,irsa,0.0,1.0,0.593755398935573,210,0.0
8,aloha,0.14188651303976382,0.08571428571428572,0.02120320626884491,280,2.044829259524029
8,irsa,0.0,1.0,0.593755398935573,280,0.0
10,aloha,0.2119891681368904,0.02857142857142857,0.021193675640259885,350,1.6358906379866092
10,irsa,0.006436420722135008,0.9142857142857143,0.28225334905966926,350,0.8900058567882966
12,aloha,0.2732473488720724,0.0,0.021172766275771773,420,1.3632919825233363
12,irsa,0.03036464236044068,0.7142857142857143,0.055539307214047096,420,1.2814668850512523
14,aloha,0.3170055147565099,0.0,0.02114812201002325,490,1.1685862794398976
14,irsa,0.13945484192941068,0.45714285714285713,0.02409377993524973,490,1.162574732653721
16,aloha,0.34694859455253085,0.0,0.021109563320846826,560,1.0225818493120111
16,irsa,0.2612503287414831,0.22857142857142856,0.02155390855061302,560,1.0217883756874286
18,aloha,0.4181553404087681,0.0,0.021100326974902703,630,0.9089763046994767
18,irsa,0.3936595884826756,0.17142857142857143,0.021349040594563162,630,0.9085815211762064
20,aloha,0.4280096573042173,0.0,0.02110122030203772,700,0.8180773980479075
20,irsa,0.5197086904937412,0.08571428571428572,0.021206365119788427,700,0.8179271911654066
24,aloha,0.4872564545386306,0.0,0.021091276027328937,840,0.6817430034621953
24,irsa,0.8709029576742978,0.02857142857142857,0.021111429530754813,840,0.6817190111962121
orthogonal,orthogonal,1.0,0.0,0.021081868117647652,567,1.0100062271921082
