adc_bits,agc,median_mse,p90_mse,adc_overload_fraction
2,False,0.01337856080446588,0.03311224815931545,0.239875
2,True,0.013198655022367623,0.017299605576858876,0.001125
3,False,0.008535713879836794,0.026930516138865036,0.239875
3,True,0.0035402351160451345,0.004997232609637367,0.001125
4,False,0.006451945790932948,0.02369494913107175,0.239875
4,True,0.0010360493302578552,0.0019280622567004586,0.001125
6,False,0.005495602745902077,0.021960110241527282,0.239875
6,True,0.0002484119765916161,0.0010783487703897986,0.001125
8,False,0.005339238930725307,0.02172027483725223,0.239875
8,True,0.00019602341638986034,0.0010706865637438482,0.001125
