strategy,selected_clients,final_loss,parameter_error,nominal_equal_topk,coordinates_per_round,sd_final_loss,sd_parameter_error
topk_noef,1,0.7400894736055046,0.24885809414331203,32.0,32.0,0.04452716764550062,0.14147361855561424
topk_noef,2,0.7062974135321791,0.12939437435772635,16.0,32.0,0.027248859479361398,0.0318653856458092
topk_noef,3,0.7201647468702406,0.21771406576727065,10.0,30.0,0.026103716605559737,0.03601608418243221
topk_noef,4,0.7321437674408682,0.27045951319413764,8.0,32.0,0.028954348681476845,0.03592520820360535
topk_noef,6,0.7700905013773623,0.39394614474134765,5.0,30.0,0.03404073139187573,0.052639311847794176
topk_noef,8,0.794841596847426,0.453366313875779,4.0,32.0,0.042638542438523844,0.06257352354582345
topk_noef,12,0.9060783439515459,0.6540076527743787,2.0,24.0,0.06659199213441304,0.08198811496517604
equal_ef,1,0.7400894736055046,0.24885809414331203,32.0,32.0,0.04452716764550062,0.14147361855561424
equal_ef,2,0.7032773824114875,0.0968169794339482,16.0,32.0,0.02720295759934381,0.041962682743585965
equal_ef,3,0.700988245776043,0.08298270982685876,10.0,30.0,0.023850677823618743,0.010573417651952218
equal_ef,4,0.70098902848598,0.08063695740385914,8.0,32.0,0.023234480685154622,0.021329375530993316
equal_ef,6,0.7014979612933849,0.08783323196482544,5.0,30.0,0.023683157993006094,0.009205298143926802
equal_ef,8,0.7028170143286527,0.09917741850933354,4.0,32.0,0.024720601871824857,0.021212164520519015
equal_ef,12,0.7044664677072223,0.11584161167092408,2.0,24.0,0.02489270792429965,0.019583962810849887
residual_ef,1,0.7400894736055046,0.24885809414331203,32.0,32.0,0.04452716764550062,0.14147361855561424
residual_ef,2,0.7030056319274219,0.09483422483168298,16.0,32.0,0.027121573514725772,0.03882810715412392
residual_ef,3,0.7006661671689128,0.07860277632163884,10.0,30.0,0.023856169734751586,0.008390546704845646
residual_ef,4,0.7014775557503542,0.08816017318801317,8.0,32.0,0.024323724391599785,0.01101057932312832
residual_ef,6,0.7010570715622888,0.08392272774723893,5.0,30.0,0.023958460734391646,0.0076595223449773195
residual_ef,8,0.7028487310756626,0.1009252133634551,4.0,32.0,0.02453298019260653,0.012859943943852273
residual_ef,12,0.7011595616327504,0.08252654949941937,2.0,24.0,0.024483262815230798,0.01508600673707033
