rho,update_interval,median_final_loss,mean_final_loss,mean_weakest_gain,mean_p10_weakest_gain,control_bits_per_round
0.995,1,0.02067775136426253,0.020802728939035488,0.2631220923986921,0.20187362628422378,20.0
0.995,4,0.02073721952800841,0.02097438721797436,0.24067171666168954,0.16362588665508662,5.142857142857144
0.995,8,0.020693817873356373,0.021126322259249708,0.2259911695414451,0.14021767367295093,2.571428571428572
0.995,16,0.021152960613521406,0.02173152685415905,0.20478504322875296,0.09916455962195851,1.4285714285714286
0.995,70,0.025899245093561236,0.033235436272216604,0.13903111695093,0.048579142423621754,0.2857142857142857
0.98,1,0.020782302133246257,0.020813058006370448,0.26774239094390095,0.1967955534505008,20.0
0.98,4,0.021551396074337165,0.021557945170574393,0.21384607668323147,0.10977937329531332,5.142857142857144
0.98,8,0.022092409682964664,0.023308636046698326,0.1862121837017714,0.07995237427024092,2.571428571428572
0.98,16,0.022518797035010807,0.02381675027832181,0.1666800123760733,0.06344136881109777,1.4285714285714286
0.98,70,0.024455914103287686,0.029650038687335706,0.1216428364151875,0.0467784163772466,0.2857142857142857
0.95,1,0.020677375664386717,0.02077884615268477,0.2724861785488303,0.19989810630729712,20.0
0.95,4,0.021697998556024146,0.02655951943921553,0.1894319171026478,0.0802179999333474,5.142857142857144
0.95,8,0.022347365683744874,0.028266259735025695,0.15997559625456298,0.06369670300170424,2.571428571428572
0.95,16,0.023174249288011026,0.025446809680105726,0.13903108341498308,0.051838139584666265,1.4285714285714286
0.95,70,0.023865082620981887,0.026211685589905404,0.11888257915103802,0.042485053393083394,0.2857142857142857
