delay_mean,strategy,final_loss,parameter_error,cosine
0,naive,0.020516014903632824,0.022857489156242496,0.9999999997923282
0,decay,0.020516014903632824,0.022857489156242496,0.9999999997923282
0,quadratic_corrected,0.020516014903632824,0.022857489156242496,0.9999999997923282
1,naive,0.02053846928038666,0.02421186766022475,0.9934791527671427
1,decay,0.02048244640641367,0.02313997914527115,0.997851624507578
1,quadratic_corrected,0.02052234748774535,0.02368337999335644,0.9941582958349889
2,naive,0.020582175477397727,0.025793667116557218,0.9827012076398899
2,decay,0.02045316458301434,0.02163004079032545,0.9961272628482069
2,quadratic_corrected,0.020550138158573088,0.0245302483285587,0.9869818620140512
4,naive,0.020540004222935122,0.023719216209328858,0.9460655283664146
4,decay,0.020463547295694027,0.021294974348405996,0.9932953949530304
4,quadratic_corrected,0.020500379686922438,0.022174244364290538,0.9768999928134061
6,naive,0.02061639128788704,0.026277785792222664,0.8465323125860075
6,decay,0.020473951902499874,0.021530531832139915,0.9873987503784899
6,quadratic_corrected,0.02051987248902718,0.023646315263351217,0.9641427202646274
8,naive,0.020871919007566724,0.03488284336227975,0.6731456978084321
8,decay,0.020470977711460926,0.022867809041091165,0.9752838050243077
8,quadratic_corrected,0.020541394708313843,0.02557802644757022,0.954526661222162
