byzantine_fraction,method,final_loss,parameter_error
0,mean,0.020185619064482515,0.016350549853817956
0,median,0.020258330490818127,0.020774240784022027
0,trimmed_mean,0.020201636167916443,0.017848104555804586
0.067,mean,0.025268795818012647,0.09798448666003431
0.067,median,0.020296473793934774,0.021818158598916546
0.067,trimmed_mean,0.02023502146631436,0.02047788286878994
0.133,mean,85.44141619111407,12.634356595298547
0.133,median,0.020410090263176098,0.027992422025602415
0.133,trimmed_mean,0.020354357836579837,0.024407669590984338
0.2,mean,24782.661045587236,211.96811375185445
0.2,median,0.02077120481990983,0.0381078993713955
0.2,trimmed_mean,0.02075263273296646,0.03471661370688468
0.267,mean,42612.24770578334,276.7271226197689
0.267,median,0.02107129989322413,0.04146991499688978
0.267,trimmed_mean,0.07016302384433953,0.3017952017818797
0.333,mean,50280.54932498702,301.62839336579253
0.333,median,0.021756088563451934,0.049898950435103534
0.333,trimmed_mean,12475.839750776986,152.0533296446734
