snr_db,noise_multiplier,final_loss,aggregation_mse
5,0,0.0266976967489696,0.04396646823470887
5,0.1,0.027308747738444626,0.044585577370725854
5,0.25,0.02786511451252211,0.04749307806880436
5,0.5,0.029962146954625422,0.05761581121640992
5,0.75,0.03338944266546111,0.07494726875257575
5,1.0,0.03839104417747942,0.09880670174745505
10,0,0.022660958592022527,0.013903418029512254
10,0.1,0.02272623868575198,0.014482516728559252
10,0.25,0.02368145035201049,0.01733000177118276
10,0.5,0.025187792826598644,0.027623132016643168
10,0.75,0.029005241038723838,0.04460338574040276
10,1.0,0.03402483222588669,0.06836013124696244
15,0,0.02083304500351775,0.004396646823470887
15,0.1,0.020907295541367343,0.004953246000370731
15,0.25,0.021465890051600135,0.00782814848958692
15,0.5,0.023359026118864375,0.017989037791554252
15,0.75,0.026837474391477205,0.03522802046909134
15,1.0,0.03106598062836807,0.0586981364246053
20,0,0.02026412890204568,0.0013903418029512257
20,0.1,0.02046863875010816,0.0019395819399694939
20,0.25,0.021172997324069145,0.004797557073245607
20,0.5,0.02287017982425483,0.015009859997655969
20,0.75,0.026042403474927693,0.031762376031676545
20,1.0,0.030540431809786512,0.05520443867691632
