resources,strategy,task_utility,expired,delivery_age,utilization
3,channel,2.0569622569161834,926.0555555555555,4.349524485195889,0.988037037037037
3,importance,2.3859982425506754,1101.9444444444443,3.8489392477279387,0.9858888888888888
3,value_per_resource,2.599752930014199,935.8333333333334,3.4666791434421373,0.9404074074074074
3,urgency_aware,2.6141877737740375,936.8888888888889,3.834980036609078,0.9437407407407407
4,channel,2.6643363063957173,705.7222222222222,3.901962070481321,0.9739722222222222
4,importance,2.8523024353640936,920.9444444444445,3.511024866977516,0.9773333333333333
4,value_per_resource,3.0626025867591666,776.2777777777778,3.195384092956465,0.9339166666666665
4,urgency_aware,3.064287045405727,761.3333333333334,3.5683003419793717,0.9414166666666666
6,channel,3.6125900449594175,336.3888888888889,3.1030290761396504,0.9741481481481481
6,importance,3.527518843860639,598.1111111111111,3.003823436057034,0.9757037037037039
6,value_per_resource,3.727874522632,436.8333333333333,2.6709261079698154,0.9379259259259258
6,urgency_aware,3.732751836368089,431.3888888888889,2.932881573287431,0.9414259259259258
8,channel,4.231792290944772,97.38888888888889,2.186196673996778,0.9293888888888888
8,importance,4.049220710354185,299.6111111111111,2.437606623403651,0.9493194444444444
8,value_per_resource,4.190781448159364,192.77777777777777,2.2167873323344414,0.915513888888889
8,urgency_aware,4.209843658971384,182.33333333333334,2.3255456836398816,0.9206388888888889
10,channel,4.404834472577344,30.833333333333332,1.729218544245823,0.8454666666666668
10,importance,4.305646184578794,112.0,1.9868132229428772,0.873777777777778
10,value_per_resource,4.346691200567061,56.0,1.7912142639258006,0.8432555555555555
10,urgency_aware,4.376993336684161,49.5,1.8183308892192396,0.8479333333333334
