snr_db,threshold,accuracy,channel_uses,offload_fraction,mean_latency_ms
0,0.55,0.7996,1.15845,0.0965375,1.1505985
0,0.65,0.8375250000000001,3.38775,0.28231249999999997,1.4404075
0,0.75,0.8571374999999999,5.43075,0.4525625,1.7059975
0,0.85,0.8657625,7.4293499999999995,0.6191125000000001,1.9658155000000002
0,0.92,0.8652,9.0492,0.7541,2.176396
5,0.55,0.8042875,1.15845,0.0965375,1.1505985
5,0.65,0.8513,3.38775,0.28231249999999997,1.4404075
5,0.75,0.87895,5.43075,0.4525625,1.7059975
5,0.85,0.8941125,7.4293499999999995,0.6191125000000001,1.9658155000000002
5,0.92,0.8981875,9.0492,0.7541,2.176396
10,0.55,0.80655,1.15845,0.0965375,1.1505985
10,0.65,0.8572375,3.38775,0.28231249999999997,1.4404075
10,0.75,0.8888625,5.43075,0.4525625,1.7059975
10,0.85,0.9056,7.4293499999999995,0.6191125000000001,1.9658155000000002
10,0.92,0.9106875,9.0492,0.7541,2.176396
15,0.55,0.8075375,1.15845,0.0965375,1.1505985
15,0.65,0.8593375,3.38775,0.28231249999999997,1.4404075
15,0.75,0.8919250000000001,5.43075,0.4525625,1.7059975
15,0.85,0.9098125,7.4293499999999995,0.6191125000000001,1.9658155000000002
15,0.92,0.9154875,9.0492,0.7541,2.176396
20,0.55,0.807575,1.15845,0.0965375,1.1505985
20,0.65,0.85985,3.38775,0.28231249999999997,1.4404075
20,0.75,0.8931125,5.43075,0.4525625,1.7059975
20,0.85,0.9110625000000001,7.4293499999999995,0.6191125000000001,1.9658155000000002
20,0.92,0.9168875,9.0492,0.7541,2.176396
0,-1,0.772725,0.0,0.0,1.0
0,2,0.8626375,12.0,1.0,2.56
5,-1,0.772725,0.0,0.0,1.0
5,2,0.8992249999999999,12.0,1.0,2.56
10,-1,0.772725,0.0,0.0,1.0
10,2,0.9125624999999999,12.0,1.0,2.56
15,-1,0.772725,0.0,0.0,1.0
15,2,0.917575,12.0,1.0,2.56
20,-1,0.772725,0.0,0.0,1.0
20,2,0.91955,12.0,1.0,2.56
