snr_db,public_probes,model_accuracy,distilled_accuracy,upload_scalars,compression_ratio
0,4,0.9548333333333332,0.7506944444444444,40,6.0
0,6,0.9538333333333333,0.819861111111111,60,4.0
0,8,0.9547611111111112,0.836488888888889,80,3.0
0,12,0.9542611111111111,0.8898777777777779,120,2.0
0,16,0.9544000000000001,0.9134611111111111,160,1.5
0,24,0.9537777777777777,0.9269166666666668,240,1.0
5,4,0.9548333333333332,0.7714888888888889,40,6.0
5,6,0.9538333333333333,0.8673611111111111,60,4.0
5,8,0.9547611111111112,0.8976777777777778,80,3.0
5,12,0.9542611111111111,0.9261111111111112,120,2.0
5,16,0.9544000000000001,0.9408277777777777,160,1.5
5,24,0.9537777777777777,0.9452777777777778,240,1.0
10,4,0.9548333333333332,0.7800277777777777,40,6.0
10,6,0.9538333333333333,0.8952999999999999,60,4.0
10,8,0.9547611111111112,0.9257000000000001,80,3.0
10,12,0.9542611111111111,0.9433777777777776,120,2.0
10,16,0.9544000000000001,0.9522222222222221,160,1.5
10,24,0.9537777777777777,0.952861111111111,240,1.0
20,4,0.9548333333333332,0.7837333333333333,40,6.0
20,6,0.9538333333333333,0.9156833333333333,60,4.0
20,8,0.9547611111111112,0.9426388888888889,80,3.0
20,12,0.9542611111111111,0.9540777777777778,120,2.0
20,16,0.9544000000000001,0.9570611111111111,160,1.5
20,24,0.9537777777777777,0.9557722222222225,240,1.0
