cluster_separation,assignment_error,global_mse,cluster_mse,local_mse
0,0,0.2678312043361256,0.27045413387001416,0.3029221261116809
0,0.1,0.2678312043361256,0.2695797013449343,0.3029221261116809
0,0.25,0.2678312043361256,0.27003826823722965,0.3029221261116809
0.3,0,0.3595176126383255,0.2705216245708587,0.3029815706229344
0.3,0.1,0.3595176126383255,0.29975578114667023,0.3029815706229344
0.3,0.25,0.3595176126383255,0.336683165326884,0.3029815706229344
0.6,0,0.6358180261683418,0.27076643297316866,0.30360327978356216
0.6,0.1,0.6358180261683418,0.3890015454641004,0.30360327978356216
0.6,0.25,0.6358180261683418,0.5317053248034945,0.30360327978356216
0.9,0,1.0967324449261748,0.2711885590769437,0.304787253593564
0.9,0.1,1.0967324449261748,0.5373169942972245,0.304787253593564
0.9,0.25,1.0967324449261748,0.8551047466670612,0.304787253593564
1.2,0,1.7422608689118246,0.2717880028821841,0.3065334920529402
1.2,0.1,1.7422608689118246,0.7447021276460427,0.3065334920529402
1.2,0.25,1.7422608689118246,1.306881430917584,0.3065334920529402
