mean_snr_db,policy,accuracy,on_time_accuracy,mean_energy_mj,mean_latency_ms,offload_fraction
0,static,0.8178,0.4535,0.20491215247911068,2.3677019059888837,0.6126
0,deadline_aware,0.7457,0.7457,0.12747213293797643,1.1846016617247048,0.1824
0,energy_aware,0.7479,0.7479,0.1293372554019093,1.2312156925238664,0.229
3,static,0.8349,0.5648,0.17388741563214005,1.9798926954017508,0.6126
3,deadline_aware,0.7839,0.7839,0.13310726229305933,1.3363407786632415,0.345
3,energy_aware,0.7898,0.7898,0.13646151957249852,1.4240189946562314,0.4365
6,static,0.8495,0.6892,0.15458763495021172,1.7386454368776463,0.6126
6,deadline_aware,0.824,0.824,0.1380352097176131,1.4875401214701636,0.5242
6,energy_aware,0.8315,0.8315,0.14279882410471081,1.6194353013088854,0.6689
9,static,0.8601,0.79,0.1434102780311492,1.5989284753893653,0.6126
9,deadline_aware,0.8587,0.8587,0.13989046346420345,1.579580793302543,0.6619
9,energy_aware,0.8689,0.8689,0.14528254720101086,1.7406318400126357,0.8492
12,static,0.8651,0.8403,0.136995045044335,1.5187380630541871,0.6126
12,deadline_aware,0.8779,0.8779,0.1383400189860244,1.5938002373253053,0.7291
12,energy_aware,0.8914,0.8914,0.14358131200160495,1.7663164000200617,0.9431
