channel_disparity_db,strategy,final_global_loss,analog_mse_selected,selection_bias_mse,plus_selection_fraction,participation_jain,weakest_gain
0,all,0.32396444829165966,0.0014197607179676991,0.0,0.5,0.9999999999989996,0.2614612889476846
0,random,0.3288233502077648,0.005760838232031504,0.015587519172652753,0.49486111111111103,0.9777899897492413,0.44532155123433537
0,channel,0.3266982010849035,0.0001520138772514957,0.015256908031420477,0.5,0.9754219127254679,1.117945932774624
0,diversity,0.3302861666588244,0.00019496522897273643,0.01465202497909932,0.49541666666666667,0.9244339377401751,1.0124525921662046
4,all,0.32402783160981946,0.0017643247158375091,0.0,0.5,0.9999999999989996,0.24673491451025145
4,random,0.3291518606711543,0.007419504162549724,0.015588905066904158,0.49486111111111103,0.9777899897492413,0.4272969506491748
4,channel,0.4025505047420805,0.00014836931577910786,0.030108726850869107,0.7359722222222222,0.8030309140676211,1.1401263733420266
4,diversity,0.3739768903685854,0.00019288123363316067,0.01939948435816257,0.67375,0.8398635448743501,1.0221758097160047
8,all,0.3241827900450972,0.0025357584773922745,0.0,0.5,0.9999999999989996,0.21488961946652654
8,random,0.32990531850421084,0.010811616677689546,0.015591905094338523,0.49486111111111103,0.9777899897492413,0.3838359141096942
8,channel,0.5543069650448695,0.00013149912607087166,0.06131529449673776,0.9183333333333333,0.5826986774420577,1.254014271843113
8,diversity,0.4172923039442075,0.00021505402162706432,0.028213618646806365,0.7709722222222222,0.7325925872912786,1.002523104255666
12,all,0.32445020121127116,0.0038872796051788753,0.0,0.5,0.9999999999989996,0.1777952277707979
12,random,0.3311231399337845,0.016626573946762622,0.015597119081005861,0.49486111111111103,0.9777899897492413,0.3318846425560319
12,channel,0.6293145258968116,9.869286562143552e-05,0.07601949445510252,0.9855555555555556,0.5112595971152953,1.5152254147651631
12,diversity,0.46018058613478374,0.00025389931245512273,0.03770699371876092,0.8255555555555556,0.6690983068770986,1.0259743574784264
