blockage_db,policy,mean_version_age,mean_model_mse,normalized_size_per_round,mean_keyframes,packet_success_fraction
0,fixed,16.89445754716981,1.356160591102886,0.35400251572327024,31.0,0.7625895352900071
0,budgeted_age,13.925783979734453,1.0822932881382261,0.3519601415094337,23.625,0.7658106219426974
3,fixed,18.319750174703007,1.4721079691409773,0.35400251572327024,31.0,0.7458835604472397
3,budgeted_age,15.412091631726065,1.2075931473715797,0.35397617924528274,24.375,0.7475869147449336
5,fixed,18.909263626834385,1.5230054699067102,0.35400251572327024,31.0,0.7345824598183088
5,budgeted_age,15.887665967854646,1.2486385491202956,0.3538735062893079,24.625,0.7366570580013976
7,fixed,19.273180904961563,1.5541936740188103,0.35400251572327024,31.0,0.7242313067784766
7,budgeted_age,16.196617313067787,1.2718738759484691,0.3540664046121591,24.583333333333332,0.7266771488469601
9,fixed,19.44030616701607,1.5677573967975267,0.35400251572327024,31.0,0.7160530223619846
9,budgeted_age,16.526937019566734,1.3048747716925158,0.3539153825995805,24.458333333333332,0.718509783368274
11,fixed,19.56819968553459,1.5786121523670407,0.35400251572327024,31.0,0.7095671733053809
11,budgeted_age,16.626037299091546,1.3126595515262485,0.3539153825995805,24.458333333333332,0.7118601502445842
