mean_snr_db,policy,weighted_version_age,weighted_model_mse,weighted_fresh_coverage,normalized_downlink_size_per_round,repair_transmissions,keyframes
-2,periodic_keyframe,53.16387973933715,4.408373415464395,0.16757271411324656,0.2743396226415092,0.0,15.0
-2,selective_age,60.98202441559317,5.102284614077121,0.13821057906048434,0.27595911949685503,17.0,5.0
-2,selective_importance,59.425301168325156,4.9517162280295235,0.13797908970246925,0.275642295597484,16.1875,5.0
0,periodic_keyframe,46.65615236119943,3.876955718375366,0.236643410570415,0.2743396226415092,0.0,15.0
0,selective_age,54.378014229179875,4.565114366635434,0.19719239461288948,0.2759913522012576,17.375,5.0
0,selective_importance,52.23737688945975,4.323437710721866,0.19148975914675692,0.27560298742138334,15.75,5.0
2,periodic_keyframe,37.68094683793107,3.085254628507215,0.3287074970966817,0.2743396226415092,0.0,15.0
2,selective_age,44.20451934574709,3.6241836878761338,0.2791101550318789,0.2754905660377356,16.5625,5.0
2,selective_importance,43.34966604907663,3.579054744247628,0.2709088730978658,0.2762272012578614,15.9375,5.0
4,periodic_keyframe,29.201791476795663,2.377749311753213,0.44301380142704844,0.2743396226415092,0.0,15.0
4,selective_age,36.75326619427794,3.0426994775846694,0.38037107406933357,0.27562814465408775,16.875,5.0
4,selective_importance,34.070441325919546,2.7820725823850845,0.3843777390835003,0.2758749999999997,16.4375,5.0
6,periodic_keyframe,21.326139345666192,1.7231290890568638,0.575238309836665,0.2743396226415092,0.0,15.0
6,selective_age,25.138673251693874,2.026278803564417,0.5259257448720199,0.27485377358490537,17.4375,5.0
6,selective_importance,23.536439564436186,1.8735477701683987,0.5249679009992477,0.2763451257861632,17.25,5.0
8,periodic_keyframe,13.800828636509976,1.1032778809319148,0.6988372435150229,0.2743396226415092,0.0,15.0
8,selective_age,14.65079407180568,1.1636072086088758,0.6646572278026082,0.2750613207547167,19.0,5.0
8,selective_importance,13.804338128264465,1.089014700442879,0.6546935648209671,0.2759001572327041,18.375,5.0
10,periodic_keyframe,8.874314350410934,0.7036494435714641,0.7918725226194234,0.2743396226415092,0.0,15.0
10,selective_age,7.450566920967175,0.5793688609721876,0.7971434526157213,0.2742523584905658,22.6875,5.0
10,selective_importance,7.209090590619665,0.557995725315067,0.7874503316288222,0.2748828616352198,21.9375,5.0
12,periodic_keyframe,4.657762865695026,0.37577316521091075,0.8689260147869413,0.2743396226415092,0.0,15.0
12,selective_age,2.089246240455167,0.1542203389777018,0.9205763197233476,0.2651273584905658,27.125,5.0
12,selective_importance,2.672435344278755,0.21034886384326945,0.9150160054812706,0.2648687106918236,26.375,5.0
