shock_multiplier,policy,mean_control_cost,p95_control_cost,cvar95_control_cost,mean_information_age
0.3,mean_value,45.29901813599782,94.07659200268978,802.3549190511102,23.976533333333336
0.3,risk_value,45.81577238315675,92.73098280895987,817.4940396866529,23.75358888888889
0.6,mean_value,65.05552793774267,188.87725324843507,1115.4388413464758,24.051888888888886
0.6,risk_value,74.5396788621248,193.54970752195257,1305.3369151615682,25.141366666666666
1.0,mean_value,89.7200184719117,311.89801566165323,1486.99626839607,24.376966666666664
1.0,risk_value,101.31504600814371,382.0074557892356,1698.9210551339818,26.375144444444445
1.4,mean_value,131.8193664653409,528.1801237764986,2134.106512855406,25.16791111111111
1.4,risk_value,125.25881699918865,478.5324691688549,2006.4297464045092,27.126755555555558
1.8,mean_value,161.89372308063216,715.1174331813036,2516.689602915217,25.63275555555556
1.8,risk_value,141.2809174218361,582.5256649860636,2171.5236098079336,27.481711111111114
2.2,mean_value,181.68753009827944,932.680068869404,2706.5408461665006,25.704955555555557
2.2,risk_value,206.89152390578306,1059.1320071278008,3114.48527672033,28.7985
