mean_snr_db,policy,mean_control_cost,p95_control_cost,payload_bits_per_slot,update_success_rate
-2,fixed_low,3947.58023107002,5867.339881892688,3.0,0.326025641025641
-2,fixed_high,4570.626652256718,5867.234027600979,10.0,0.2316025641025641
-2,adaptive,3210.5251902902396,5867.364389921294,4.028910256410257,0.29057692307692307
0,fixed_low,0.2535902771304414,0.8018468191919608,3.0,0.4166025641025641
0,fixed_high,0.26368252485189614,0.6389590653063414,10.0,0.30410256410256414
0,adaptive,0.24118182325160753,0.5904984335193615,4.782564102564102,0.3693589743589744
2,fixed_low,0.12631773600431603,0.3515838288993863,3.0,0.5761538461538462
2,fixed_high,0.0739870531690126,0.21780963433291112,10.0,0.43435897435897436
2,adaptive,0.07815435636064376,0.22020620666807292,5.752884615384616,0.508974358974359
4,fixed_low,0.08408432553049083,0.20883634637001192,3.0,0.7351282051282052
4,fixed_high,0.04319757237632149,0.1173640682857015,10.0,0.5908974358974358
4,adaptive,0.050725806162498555,0.13701603887899597,6.065,0.6648076923076923
6,fixed_low,0.06964045202687501,0.16176231950553446,3.0,0.8560897435897435
6,fixed_high,0.029993310196668472,0.07415976846093024,10.0,0.7473076923076923
6,adaptive,0.03969693915970157,0.09832478173196417,6.1619230769230775,0.8055128205128206
