mean_snr_db,policy,on_time_accuracy,deadline_miss_rate,mean_feature_bits,mean_model_depth,mean_latency_ms
-4,fixed_light,0.6281169871303749,0.07572916666666667,2.0,2.0,2.1155104089960166
-4,fixed_deep,0.5365674374572593,0.9133333333333333,8.0,4.0,4.982041635984067
-4,adaptive,0.7323363627192176,0.07697916666666667,4.179791666666667,2.914375,2.8649164507187637
-2,fixed_light,0.653934310246632,0.026875,2.0,2.0,1.8922651266360528
-2,fixed_deep,0.5813376090341477,0.8073958333333333,8.0,4.0,4.089060506544211
-2,adaptive,0.7869130248281414,0.03791666666666666,4.840625,3.2197916666666666,2.805523886002837
0,fixed_light,0.6792934104264161,0.007291666666666667,2.0,2.0,1.7494421666395947
0,fixed_deep,0.6529744439060907,0.638125,8.0,4.0,3.5177686665583785
0,adaptive,0.8307834296014237,0.026875,5.252083333333333,3.5023958333333334,2.7651934504160667
2,fixed_light,0.7041935132780455,0.0016666666666666668,2.0,2.0,1.6576060579166596
2,fixed_deep,0.7350728995041433,0.4446875,8.0,4.0,3.150424231666638
2,adaptive,0.8662797756780756,0.014270833333333333,5.2875,3.7015624999999996,2.7023543213781376
4,fixed_light,0.7281318283224254,0.0003125,2.0,2.0,1.5979974772693806
4,fixed_deep,0.8124134432153691,0.2630208333333333,8.0,4.0,2.911989909077522
4,adaptive,0.8887843167378137,0.0109375,5.026875,3.8484374999999997,2.6281450011959873
6,fixed_light,0.7501844659577491,0.00010416666666666667,2.0,2.0,1.558748849748553
6,fixed_deep,0.8696937910031561,0.12906250000000002,8.0,4.0,2.7549953989942124
6,adaptive,0.9034071022664493,0.0059375,4.548541666666667,3.9358333333333335,2.549129042317887
10,fixed_light,0.7851007467079031,0.0,2.0,2.0,1.5142759930125247
10,fixed_deep,0.9182658826837077,0.016458333333333332,8.0,4.0,2.5771039720500983
10,adaptive,0.9168927546014901,0.0005208333333333333,3.4822916666666672,3.9930208333333335,2.4231382721673924
