mean_snr_db,policy,mean_control_cost,p95_control_cost,mean_payload_bits_per_slot,update_success_rate
-5,round_robin,30.33896259375967,257.3150779920591,7.0,0.11549999999999999
-5,all_low,10.802463531319793,31.47936183099462,6.0,0.12055555555555557
-5,value_component,1.4549525841041089,3.975294849463932,7.0,0.11549999999999999
-3,round_robin,9.883468225570676,34.44963208613316,7.0,0.17133333333333334
-3,all_low,3.5897254134542673,9.988271583172153,6.0,0.18605555555555556
-3,value_component,0.6084590888788913,1.4689075551007365,7.0,0.17133333333333334
-1,round_robin,1.6082087185682046,4.50742283579273,7.0,0.2558888888888889
-1,all_low,1.8149346410009894,5.4471094525409045,6.0,0.2755
-1,value_component,0.1996365670775556,0.6480216253648063,7.0,0.2558888888888889
1,round_robin,0.4086099705363954,1.355159734280618,7.0,0.3637222222222222
1,all_low,1.1380392389617056,3.5327807139955922,6.0,0.3912777777777778
1,value_component,0.11542171400740593,0.38080792634263955,7.0,0.3637222222222222
3,round_robin,0.1965007185033575,0.6716122723904031,7.0,0.5091666666666667
3,all_low,0.8464325658877341,2.620189087278429,6.0,0.5448888888888889
3,value_component,0.07828718969164003,0.23391199638840096,7.0,0.5091666666666667
5,round_robin,0.09212721474801007,0.3155220446925353,7.0,0.6658333333333333
5,all_low,0.6514973147341089,1.9411458365160488,6.0,0.6955
5,value_component,0.05748368383208847,0.16557697253053624,7.0,0.6658333333333333
8,round_robin,0.05916109403195605,0.1840120295856418,7.0,0.8712222222222223
8,all_low,0.48712456250423086,1.4618227258965666,6.0,0.8840555555555557
8,value_component,0.04470982773060848,0.12494478359412943,7.0,0.8712222222222223
