failure_probability,policy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,recovery_traffic_mb_per_task,compute_load_ratio
0.01,restart,81.1458142705075,136.97908269475334,0.023160000000000004,0.0,1.0162680235366637
0.01,checkpoint,88.34574993930428,147.25677853040798,0.02908,2.6241999999999996,1.0050799745057213
0.01,replicate,77.60852746432627,127.17036425516895,0.01048,3.5,2.0000455875353733
0.04,restart,85.28218134621828,155.68840442000854,0.04572,0.0,1.0631804402401885
0.04,checkpoint,89.79643395961988,151.66872178030218,0.03632,2.739684,1.0191091092865163
0.04,replicate,77.76839233950258,127.74761060177734,0.011280000000000002,3.5,2.001591383712694
0.08,restart,91.19314500586519,193.7582808218114,0.07808000000000001,0.0,1.1254571484839357
0.08,checkpoint,92.1749425931275,157.2027311669615,0.04444,2.9079439999999996,1.037970708104754
0.08,replicate,78.2418931980413,129.23238269028516,0.013919999999999998,3.5,2.0062330615271793
0.12,restart,96.75387080238866,226.71825947442852,0.10824,0.0,1.1857342964991653
0.12,checkpoint,94.28083870649601,161.9786835368979,0.054400000000000004,3.062124,1.055939033371639
0.12,replicate,79.18469551261707,132.73225982669686,0.01924,3.5,2.01546561420202
0.18,restart,105.39722297336468,255.30753184318905,0.15488,0.0,1.280500098022553
0.18,checkpoint,97.59243469308682,167.3941364033952,0.06604,3.3098039999999997,1.0854172040136842
0.18,replicate,80.96091162371347,140.29391111861716,0.02892,3.5,2.0328570346575683
0.25,restart,115.4247315285282,277.780844971201,0.20884,0.0,1.3878171328101554
0.25,checkpoint,101.42839839334555,173.27993745397816,0.08159999999999999,3.5878039999999998,1.117199880960427
0.25,replicate,83.9706403153763,156.32619229574362,0.04623999999999999,3.5,2.0624312086771424
