storage_budget_mb,policy,model_outage_rate,task_weighted_outage_rate,task_weighted_utility,storage_used_mb,mean_replication_factor
1600,popularity,0.04475555555555555,0.04484846450305531,1.5763377777777778,1540.0,1.0
1600,risk_aware,0.04475555555555555,0.04484846450305531,1.5763377777777778,1540.0,1.0
1800,popularity,0.02717777777777778,0.03680460336520697,1.5867400000000003,1750.0,1.2857142857142858
1800,risk_aware,0.02717777777777778,0.03680460336520697,1.5867400000000003,1750.0,1.2857142857142858
2200,popularity,0.014088888888888887,0.027632098509953525,1.6055955555555557,2120.0,1.5714285714285714
2200,risk_aware,0.015644444444444443,0.024229361883376654,1.614657777777778,2170.0,1.5714285714285714
2600,popularity,0.0078,0.01892848937627775,1.6283622222222225,2590.0,2.0
2600,risk_aware,0.011977777777777778,0.015229078855845221,1.62546,2580.0,1.8571428571428572
3200,popularity,0.0048000000000000004,0.013461521650416333,1.6340977777777776,3160.0,2.4285714285714284
3200,risk_aware,0.003822222222222222,0.004600459618111696,1.6407977777777778,3170.0,2.142857142857143
4000,popularity,0.0013333333333333333,0.0028394042594110714,1.6542377777777777,3870.0,2.857142857142857
4000,risk_aware,0.0017333333333333333,0.0030360520907014446,1.6578777777777778,3920.0,2.7142857142857144
