mean_snr_db,policy,mean_control_cost,p95_control_cost,safety_violation_rate,critical_component_miss_rate,repetitions_per_slot
-6,equal,7.604747900817326,22.151037214383987,0.06095588235294118,0.8886764705882353,5.0
-6,critical_uep,1.0965779915752942,4.086028661201964,0.008970588235294117,0.8026470588235295,5.0
-4,equal,1.9500306182312839,5.169910319079281,0.015955882352941174,0.8273529411764706,5.0
-4,critical_uep,0.549317859840846,1.8576148317701628,0.002426470588235294,0.7037500000000001,5.0
-2,equal,0.5383008950109744,1.8813802497735455,0.0027941176470588237,0.7369117647058824,5.0
-2,critical_uep,0.33041185229368253,1.04350706728316,0.0006617647058823529,0.5800000000000001,5.0
0,equal,0.29283917221698524,0.9294424187836896,0.0008088235294117646,0.6247058823529411,5.0
0,critical_uep,0.2150661031900982,0.5872383521638935,0.00014705882352941175,0.42558823529411766,5.0
2,equal,0.21171172595614599,0.5889983503246896,0.0003676470588235294,0.4824264705882353,5.0
2,critical_uep,0.1611906656773356,0.40282204045117614,7.352941176470588e-05,0.2564705882352941,5.0
5,equal,0.14336168411332678,0.37429525374815736,0.0,0.2430147058823529,5.0
5,critical_uep,0.1281882917567903,0.31419012507678457,0.0,0.07058823529411765,5.0
8,equal,0.12204261453312414,0.3045717652168812,0.0,0.07588235294117646,5.0
8,critical_uep,0.11721825568961781,0.29270719050448657,0.0,0.0058823529411764705,5.0
12,equal,0.11583071880462834,0.2897893958203325,0.0,0.004852941176470588,5.0
12,critical_uep,0.11494504825070936,0.28776878273691,0.0,0.0,5.0
