storage_budget_mb,policy,task_weighted_outage_rate,raw_outage_rate,failure_domains_per_model,replication_factor,mean_latency_ms
2000,popularity,0.10232603127630413,0.08276666666666667,1.3333333333333333,2.0,32.48126973076022
2000,independent_risk,0.09049635251068089,0.06206666666666667,1.5,2.0,30.440464171808618
2000,domain_aware,0.06693415631441665,0.05171666666666667,1.6666666666666667,1.6666666666666667,29.642050966217386
2400,popularity,0.08694231618023528,0.056633333333333334,1.5,2.5,29.47196588647271
2400,independent_risk,0.0930391736028112,0.07691666666666667,1.3333333333333333,2.1666666666666665,31.570058066425304
2400,domain_aware,0.04738952988655208,0.03331666666666666,2.0,2.1666666666666665,27.39732099992262
2800,popularity,0.08645702001310163,0.05578333333333333,1.6666666666666667,2.8333333333333335,29.289883217541956
2800,independent_risk,0.07837669642341631,0.052033333333333334,1.5,2.6666666666666665,28.740447318487316
2800,domain_aware,0.03131401746909493,0.012266666666666667,2.3333333333333335,2.3333333333333335,25.154616905875383
3400,popularity,0.0706366317422357,0.03496666666666666,1.8333333333333333,3.3333333333333335,26.903500994265823
3400,independent_risk,0.07254663065976938,0.04923333333333334,1.5,3.0,28.247824479955064
3400,domain_aware,0.004874892239433563,0.0036666666666666666,2.6666666666666665,2.6666666666666665,24.117860149024768
4200,popularity,0.05486614437902574,0.020966666666666668,2.1666666666666665,4.0,25.357781293566866
4200,independent_risk,0.0269790607349983,0.010316666666666665,2.1666666666666665,3.6666666666666665,24.2710621518357
4200,domain_aware,0.0011374876184003947,0.0010999999999999998,3.0,3.3333333333333335,23.49023315188122
