link_correlation,policy,mean_control_cost,p95_control_cost,safety_violation_rate,update_success_rate,transmissions_per_slot,duplication_rate
0,single,0.6492517071701402,2.332633014518361,0.020104166666666666,0.22302083333333333,1.0,0.0
0,full_duplicate,0.14463937965550597,0.40389066943048624,0.00010416666666666667,0.42322916666666666,2.0,1.0
0,adaptive_duplicate,0.19697021626944586,0.5769279378951767,0.00010416666666666667,0.350625,1.57625,0.57625
0.2,single,0.737964345695381,2.4466595333430057,0.028124999999999997,0.21760416666666665,1.0,0.0
0.2,full_duplicate,0.18593180638985285,0.6222856932425024,0.0003125,0.39062500000000006,2.0,1.0
0.2,adaptive_duplicate,0.24446148143528,0.7993799053401001,0.0016666666666666668,0.3336458333333333,1.6045833333333335,0.6045833333333334
0.4,single,0.7239556600052104,2.8409735180150535,0.030520833333333337,0.2203125,1.0,0.0
0.4,full_duplicate,0.192884872274336,0.6289599505129125,0.000625,0.3609375,2.0,1.0
0.4,adaptive_duplicate,0.24874881416822814,0.8065740367260478,0.0017708333333333335,0.31354166666666666,1.6064583333333335,0.6064583333333333
0.6,single,0.7548753701626988,2.451864084325043,0.026666666666666665,0.22031250000000002,1.0,0.0
0.6,full_duplicate,0.21295081387402062,0.6531101576556366,0.00010416666666666667,0.33520833333333333,2.0,1.0
0.6,adaptive_duplicate,0.2671722835100986,0.8337835222111275,0.0004166666666666667,0.3021875,1.6044791666666667,0.6044791666666667
0.8,single,0.7194322288964419,2.7288748240240386,0.026979166666666665,0.21885416666666668,1.0,0.0
0.8,full_duplicate,0.29145391006501836,0.9535444593096256,0.003333333333333333,0.29510416666666667,2.0,1.0
0.8,adaptive_duplicate,0.3298453367538033,1.1758285737580496,0.002916666666666667,0.27593749999999995,1.6094791666666666,0.6094791666666666
0.95,single,0.605117841284299,2.102455242223709,0.018229166666666668,0.22093749999999998,1.0,0.0
0.95,full_duplicate,0.3054948489738984,1.0091727994592192,0.0017708333333333335,0.28208333333333335,2.0,1.0
0.95,adaptive_duplicate,0.3522181436744603,1.1629569277918475,0.0040625,0.2711458333333333,1.6257291666666667,0.6257291666666667
