mean_snr_db,policy,mean_control_cost,p95_control_cost,safety_violation_rate,payload_bits_per_slot,component_deliveries_per_slot
-5,uniform_low,0.4704215591670125,1.903696541259448,0.0175,9.0,0.36474999999999996
-5,single_high,4.48983966404602,24.36142778534882,0.13908333333333334,6.0,0.10166666666666667
-5,risk_bitalloc,0.881722076237315,2.913763134433478,0.036,10.0,0.3583333333333333
-3,uniform_low,0.1710819357512193,0.6274422233366654,0.00125,9.0,0.5514166666666667
-3,single_high,1.0925078029175688,4.059581437023103,0.032916666666666664,6.0,0.15716666666666668
-3,risk_bitalloc,0.21695071127666993,0.8534348149473503,0.003416666666666667,10.0,0.53925
-1,uniform_low,0.09308225323732186,0.3052790058313973,0.0,9.0,0.8215833333333333
-1,single_high,0.20553074826481305,0.7624854982226378,0.002,6.0,0.23683333333333334
-1,risk_bitalloc,0.09681035179754846,0.34561732957472135,0.0,10.0,0.8027500000000001
1,uniform_low,0.06115614638295624,0.17746129775262454,0.0,9.0,1.1844999999999999
1,single_high,0.09589924703345026,0.336156632919478,0.0,6.0,0.34824999999999995
1,risk_bitalloc,0.06253835970989938,0.20000761568292902,0.0,10.0,1.1653333333333333
3,uniform_low,0.04417471004147659,0.11813650632735578,0.0,9.0,1.6350833333333334
3,single_high,0.05492058712308177,0.16320800714202643,0.0,6.0,0.4933333333333333
3,risk_bitalloc,0.04160284105870102,0.11159592243229233,0.0,10.0,1.6075833333333331
5,uniform_low,0.0360174441048286,0.08822070973254703,0.0,9.0,2.1137499999999996
5,single_high,0.03661781109301631,0.09365027898475967,0.0,6.0,0.659
5,risk_bitalloc,0.0318090866739395,0.07754868849990607,0.0,10.0,2.0971666666666664
8,uniform_low,0.029649696779920923,0.07077266735722652,0.0,9.0,2.7135
8,single_high,0.027768121336007017,0.06801694256477833,0.0,6.0,0.8798333333333334
8,risk_bitalloc,0.025470316194882978,0.05670426153455236,0.0,10.0,2.710583333333333
