snr_db,policy,accuracy,hard_sample_accuracy,p90_batch_error,mean_channel_uses,retransmission_rate
-4,no_harq,0.6542000000000001,0.53088,0.38920000000000005,1.0,0.0
-4,channel_harq,0.696,0.5456000000000001,0.34529999999999994,1.52992,0.52992
-4,task_harq,0.7076,0.55096,0.3357,1.61056,0.61056
-2,no_harq,0.6825,0.5388,0.3612,1.0,0.0
-2,channel_harq,0.7305200000000001,0.55464,0.3123,1.52992,0.52992
-2,task_harq,0.73906,0.5614399999999999,0.3009,1.58186,0.58186
0,no_harq,0.7122,0.54992,0.3296,1.0,0.0
0,channel_harq,0.765,0.5711999999999999,0.27749999999999997,1.52992,0.52992
0,task_harq,0.7714,0.57872,0.2666,1.5461,0.5461
2,no_harq,0.7444600000000001,0.56488,0.29819999999999997,1.0,0.0
2,channel_harq,0.79908,0.58888,0.2407,1.52992,0.52992
2,task_harq,0.8042400000000001,0.59648,0.2305,1.50338,0.5033800000000002
4,no_harq,0.77536,0.57856,0.26450000000000007,1.0,0.0
4,channel_harq,0.8305199999999999,0.6088799999999999,0.2043,1.52992,0.52992
4,task_harq,0.8342400000000001,0.6155999999999999,0.2003,1.4570599999999998,0.45705999999999997
6,no_harq,0.80426,0.5975199999999999,0.2318,1.0,0.0
6,channel_harq,0.85896,0.63408,0.1733,1.52992,0.52992
6,task_harq,0.861,0.64096,0.16749999999999998,1.40732,0.40732
