radio_correlation,policy,post_drift_task_weighted_miss_rate,duplicate_action_rate,replicate_action_rate,resilience_credits_per_task,cvar95_latency_ms
0,adaptive_global,0.2072207740892386,0.7273076923076923,0.13553846153846155,0.6727538461537956,96.4902329243537
0,adaptive_local,0.1787409007038741,0.6604615384615384,0.15723076923076923,0.6486246153845561,96.72371662160234
0.25,adaptive_global,0.23600066587745977,0.6888461538461539,0.14084615384615384,0.6508999999999416,97.68674346362407
0.25,adaptive_local,0.20855698869023076,0.6415384615384615,0.16230769230769232,0.6405846153845531,97.72095825499281
0.5,adaptive_global,0.26289202442756876,0.6551538461538462,0.15415384615384614,0.6412799999999386,98.7154096637006
0.5,adaptive_local,0.22398091788258423,0.6116923076923078,0.1920769230769231,0.6519799999999409,98.37865635095093
0.75,adaptive_global,0.258531421543682,0.39284615384615384,0.2746923076923077,0.5852876923076429,98.85648454326348
0.75,adaptive_local,0.25501418127896347,0.28292307692307694,0.2303846153846154,0.45740461538459054,99.59926126176799
0.95,adaptive_global,0.2599924436986174,0.03938461538461538,0.29430769230769227,0.3523723076922951,99.33824132821005
0.95,adaptive_local,0.26496483187492004,0.069,0.23723076923076925,0.3111876923076845,99.53501595674902
