budget_per_task,policy,post_drift_task_weighted_miss_rate,post_drift_routine_miss_rate,post_drift_important_miss_rate,post_drift_critical_miss_rate,resilience_credits_per_task,mean_active_risk_debt
0.35,point_greedy,0.3158022101023007,0.3736250323430827,0.27770576487306525,0.27997198243222776,0.209400952380957,0.0
0.35,adaptive_global,0.35164562328457977,0.32954683685177677,0.3236419966457989,0.4172973717180896,0.3079961904761958,0.18020578571428567
0.35,adaptive_local,0.3473437842082998,0.3263927112000667,0.32279704523050534,0.4066766483554307,0.3047361904761963,0.20254764952380952
0.55,point_greedy,0.30062172855928165,0.3736250323430827,0.2739130852248723,0.22902041771646497,0.2278619047619088,0.0
0.55,adaptive_global,0.3221003380729747,0.3016076484753529,0.2954017359910896,0.3838985034350777,0.43396285714282734,0.17597935714285706
0.55,adaptive_local,0.32275039660178445,0.2998600778099694,0.2932941583131697,0.39135833574270645,0.4239752380952104,0.19874673238095233
0.75,point_greedy,0.30028660791585,0.3736250323430827,0.2739130852248723,0.2278467087962772,0.2283495238095278,0.0
0.75,adaptive_global,0.30072368160055357,0.27478312950440337,0.2709637567052016,0.37388246389382235,0.5413990476189892,0.1732842142857142
0.75,adaptive_local,0.2986256413721729,0.27739644093877813,0.26674540077581904,0.3676731650902482,0.5302247619047056,0.19726327999999996
1.0,point_greedy,0.30028660791585,0.3736250323430827,0.2739130852248723,0.2278467087962772,0.2283495238095278,0.0
1.0,adaptive_global,0.2744341896881037,0.25232540539410725,0.2490430285107091,0.3368088196825134,0.6733342857142556,0.17142926190476185
1.0,adaptive_local,0.24215172061358872,0.26068100626913976,0.19763541626659498,0.2698623903735217,0.6555866666666298,0.1953265214285714
1.3,point_greedy,0.30028660791585,0.3736250323430827,0.2739130852248723,0.2278467087962772,0.2283495238095278,0.0
1.3,adaptive_global,0.24392035856061897,0.22477043337591504,0.2246034489380497,0.2946995855878182,0.8233533333333615,0.1699154285714285
1.3,adaptive_local,0.21815331164353294,0.24729600869701898,0.17698531576858575,0.22667299987608938,0.694905714285694,0.1943799204761905
