radio_correlation,policy,post_drift_weighted_miss_rate,masked_fraction_of_base_failures,duplicate_action_rate,replica_action_rate,resilience_credits_per_task,mean_radio_debt
0,outcome_only,0.23152470240120157,0.34306000604149683,0.6613809523809523,0.13533333333333333,0.6250609523809011,0.0
0,component_telemetry,0.23215958086409205,0.37156182151740813,0.7483333333333334,0.14771428571428571,0.7012857142856892,0.0759044341840976
0.25,outcome_only,0.26315784326545955,0.2634882671832193,0.617095238095238,0.14871428571428572,0.6078942857142297,0.0
0.25,component_telemetry,0.26517448384651204,0.2773436624307927,0.667952380952381,0.15161904761904763,0.6477066666666224,0.0750371536375583
0.5,outcome_only,0.2957085118181578,0.18875582920650813,0.4953333333333334,0.1853809523809524,0.560559047618992,0.0
0.5,component_telemetry,0.3049612831273016,0.1966858745903101,0.5421428571428571,0.19166666666666665,0.6011761904761349,0.07692321453763556
0.75,outcome_only,0.3147237010766332,0.14932519965869107,0.1456666666666667,0.35909523809523813,0.49988476190473147,0.0
0.75,component_telemetry,0.3172047229156952,0.14292731849785267,0.1621904761904762,0.3434761904761905,0.4946009523809222,0.07505309987225087
0.95,outcome_only,0.32634842393855124,0.1395785440953273,0.0025238095238095237,0.40061904761904765,0.4424980952380729,0.0
0.95,component_telemetry,0.33065977516111994,0.12644143923582016,0.004571428571428571,0.3732857142857143,0.4139057142856943,0.07227586825718464
