drift_mode,policy,post_drift_weighted_miss_rate,duplicate_action_rate,replica_action_rate,mean_radio_debt,mean_edge_debt,resilience_credits_per_task
none,outcome_only,0.12335839576755829,0.3262380952380952,0.09947619047619048,0.0,0.0,0.3443152380952303
none,component_telemetry,0.12316138747316079,0.33590476190476193,0.11814285714285715,0.009293313672000026,0.006218437718384838,0.37180857142855744
none,hybrid_feedback,0.12316138747316079,0.33609523809523806,0.11933333333333333,0.009293313672000026,0.006218437718384838,0.3732552380952239
radio,outcome_only,0.18800151938845777,0.49852380952380954,0.128,0.0,0.0,0.49973714285709964
radio,component_telemetry,0.16806472076036172,0.6708571428571428,0.11257142857142859,0.0750371536375583,0.006218437718384838,0.6068457142856533
radio,hybrid_feedback,0.168178462737933,0.6675714285714286,0.11609523809523808,0.0750371536375583,0.006218437718384838,0.6083561904761305
edge,outcome_only,0.18609684982110686,0.3836190476190476,0.2077619047619048,0.0,0.0,0.5047438095237727
edge,component_telemetry,0.18821624406393278,0.29266666666666663,0.35504761904761906,0.009293313672000026,0.059771963941162,0.6012723809523489
edge,hybrid_feedback,0.18913705757340638,0.28576190476190483,0.3666666666666667,0.009293313672000026,0.059771963941162,0.6090819047618764
mixed,outcome_only,0.26315784326545955,0.617095238095238,0.14871428571428572,0.0,0.0,0.6078942857142297
mixed,component_telemetry,0.26517448384651204,0.667952380952381,0.15161904761904763,0.0750371536375583,0.059771963941162,0.6477066666666224
mixed,hybrid_feedback,0.26525570608121923,0.6654285714285715,0.15314285714285714,0.0750371536375583,0.059771963941162,0.6475657142856702
