exploration_rate,estimator,mean_absolute_error,rmse,signed_bias,effective_sample_fraction,max_importance_weight,ci95_coverage
0.005,dm,0.007442948384076007,0.009418687744954038,0.005947854930837786,0.04532064801123349,110.78310052670597,0.25
0.005,ips,0.012744925095846016,0.01708779928601319,0.005256346114471115,0.04532064801123349,110.78310052670597,1.0
0.005,snips,0.0088672750756116,0.012166852638282943,0.004299972872051883,0.04532064801123349,110.78310052670597,1.0
0.005,dr,0.009333703754270195,0.012158651346502238,0.006210107384790916,0.04532064801123349,110.78310052670597,1.0
0.005,clipped_dr,0.007267229721888887,0.009050469878847766,0.005863611995316804,0.04532064801123349,110.78310052670597,0.5
0.01,dm,0.006798705307919905,0.007774992811453737,0.004488899284247632,0.086892278828817,57.08029871072187,0.25
0.01,ips,0.011278586615808607,0.012581580298092277,0.00035222047502406033,0.086892278828817,57.08029871072187,1.0
0.01,snips,0.009794730267676374,0.010464612339159117,-3.999741649448989e-05,0.086892278828817,57.08029871072187,1.0
0.01,dr,0.009804372281023812,0.010273655837901938,0.001104404020433299,0.086892278828817,57.08029871072187,1.0
0.01,clipped_dr,0.0070284088163808135,0.008038616742801652,0.004045989515687628,0.086892278828817,57.08029871072187,0.75
0.02,dm,0.007537397292429719,0.009377132375828238,0.005633037686663464,0.15530089747847853,28.810889952198842,0.25
0.02,ips,0.008173033780514804,0.009161987498579,0.0036119902314672627,0.15530089747847853,28.810889952198842,1.0
0.02,snips,0.006435124563406823,0.008379712001135195,0.004045751632380459,0.15530089747847853,28.810889952198842,1.0
0.02,dr,0.007029197932976072,0.009243777867273541,0.0040723593233852814,0.15530089747847853,28.810889952198842,0.875
0.02,clipped_dr,0.007580473224264516,0.0098585849876812,0.005611513116738862,0.15530089747847853,28.810889952198842,0.875
0.05,dm,0.005020068175865063,0.006480072170022214,0.004708070830636386,0.2991482643354648,11.862392034380061,0.25
0.05,ips,0.004581933089088943,0.006052273110570887,0.002726472432828803,0.2991482643354648,11.862392034380061,1.0
0.05,snips,0.003969452169924961,0.005303529688267249,0.0028991281844671993,0.2991482643354648,11.862392034380061,1.0
0.05,dr,0.004424563253882248,0.006168349580928992,0.0034611947541183206,0.2991482643354648,11.862392034380061,1.0
0.05,clipped_dr,0.004496513518849133,0.006067964148106664,0.0035098016776680067,0.2991482643354648,11.862392034380061,0.875
0.1,dm,0.002316641644319703,0.002979721692526213,0.0018160166638608866,0.43983816337798715,6.044492841988354,0.5
0.1,ips,0.002097436922450952,0.002734146252070537,0.0006590065966211051,0.43983816337798715,6.044492841988354,1.0
0.1,snips,0.00170131604045453,0.0025186481277523075,0.0007821278526443515,0.43983816337798715,6.044492841988354,1.0
0.1,dr,0.0017273363166572901,0.002630289240207628,0.000927044089126871,0.43983816337798715,6.044492841988354,1.0
0.1,clipped_dr,0.0017273363166572901,0.002630289240207628,0.000927044089126871,0.43983816337798715,6.044492841988354,1.0
0.2,dm,0.001057734831199664,0.0012202673487949523,0.00041468790772590004,0.5655826767395471,3.06083664663816,1.0
0.2,ips,0.0016753629023342105,0.0017614213628310933,0.0003312019079007508,0.5655826767395471,3.06083664663816,1.0
0.2,snips,0.0014824405097875054,0.001613674162741781,0.0003151065452027986,0.5655826767395471,3.06083664663816,1.0
0.2,dr,0.0011263549424215778,0.0013363538655106063,0.0002211766163971729,0.5655826767395471,3.06083664663816,1.0
0.2,clipped_dr,0.0011263549424215778,0.0013363538655106063,0.0002211766163971729,0.5655826767395471,3.06083664663816,1.0
