nonlinearity,estimator,mean_absolute_error,rmse,signed_bias,mean_standard_error
0,dm,0.0030874290588746465,0.003842340869657219,-0.0004050218344837653,0.0010735707406502462
0,ips,0.003172407379202764,0.003805515308564165,-0.0006649937640695921,0.005417408008440723
0,snips,0.0031198630568169293,0.0035660856226431333,-0.0006622287472434457,0.005185027056551603
0,dr,0.002925351245540665,0.0036221850874590712,-0.0006525628099045319,0.005200573176962869
0,clipped_dr,0.002925351245540665,0.0036221850874590712,-0.0006525628099045319,0.005200573176962869
0.5,dm,0.0032132931812907063,0.003953818927250446,-0.00031641707027049574,0.0011197406846766283
0.5,ips,0.0032503370848087796,0.003758754025477617,-0.00023413369909094372,0.005538322267790755
0.5,snips,0.0028503559698636106,0.0034647011067422437,-0.00022731455708301652,0.005289237063278325
0.5,dr,0.0028960758733774573,0.0035865670547435666,-0.00019928042254445944,0.0052963447766154175
0.5,clipped_dr,0.0028960758733774573,0.0035865670547435666,-0.00019928042254445944,0.0052963447766154175
1,dm,0.003483387776283854,0.00407162030413144,0.0010651461337814068,0.0011896882902446134
1,ips,0.0032508828308457664,0.0038122880920299904,0.0004418200363015934,0.00572267751268384
1,snips,0.003213416862283605,0.003690380863630171,0.0004526007886236333,0.005445450857370556
1,dr,0.0033462508102196907,0.003922924261532789,0.0005561263470728508,0.005449857869686857
1,clipped_dr,0.0033462508102196907,0.003922924261532789,0.0005561263470728508,0.005449857869686857
1.5,dm,0.003760696575138145,0.004702300953582977,0.0012860077254002484,0.0012462527268302524
1.5,ips,0.0035173289606637097,0.0042978738721719135,0.000339536821976405,0.005879280895495377
1.5,snips,0.003340972272121344,0.004073434194695968,0.0003482179428343321,0.0055770123418291745
1.5,dr,0.0035174816772953143,0.004351678942859071,0.0004770807253652698,0.005579724188469278
1.5,clipped_dr,0.0035174816772953143,0.004351678942859071,0.0004770807253652698,0.005579724188469278
2.5,dm,0.004228214375656891,0.0049445128583975595,0.0018643488554185906,0.0013522970245461467
2.5,ips,0.003417217607815495,0.004357043589260318,0.0007364507733192,0.006317657207187348
2.5,snips,0.003084950881718412,0.003714477654780151,0.0007394449534127712,0.005933330110176928
2.5,dr,0.003114318140540545,0.00395924087333134,0.000832139920405195,0.005943542411929953
2.5,clipped_dr,0.003114318140540545,0.00395924087333134,0.000832139920405195,0.005943542411929953
