n_tasks,selector,mean_selection_regret,p90_selection_regret,baseline_fallback_rate,oracle_selection_rate,aggressive_selection_rate
1200,greedy,0.003185267043662395,0.007927818921221196,0.0,0.2916666666666667,0.2916666666666667
1200,conservative,0.0011957945014397706,0.002708008803655912,1.0,0.125,0.0
2500,greedy,0.00414733337596665,0.0098163963225643,0.0,0.2916666666666667,0.25
2500,conservative,0.0016186177013408631,0.0033137679737453517,1.0,0.20833333333333334,0.0
5000,greedy,0.0020085003033013583,0.00609618398570624,0.0,0.5,0.125
5000,conservative,0.001508492174251597,0.002236479973095881,1.0,0.0,0.0
10000,greedy,0.0010769634793997378,0.004321621631749103,0.0,0.75,0.041666666666666664
10000,conservative,0.0014307342196744378,0.0024294602347669277,1.0,0.041666666666666664,0.0
20000,greedy,0.0014071337848000794,0.005327629277689145,0.0,0.7083333333333334,0.0
20000,conservative,0.0016442545990651772,0.0022143477431907726,1.0,0.0,0.0
