n_tasks,propensity_mode,mean_absolute_error,propensity_mae,max_importance_weight,effective_sample_fraction
800,estimated_full,0.004543305826081401,0.074926024496265,5.384347790905024,0.5602407396790264
800,estimated_crossfit,0.004536140762752526,0.08284865943113649,6.9897431045091425,0.5517973353384142
1200,estimated_full,0.00635874501134969,0.06941960946703529,5.294990943005041,0.5663679723081751
1200,estimated_crossfit,0.0072891812652074615,0.07558801284430873,6.680084970768259,0.557068925331568
2000,estimated_full,0.0035082233881722226,0.058885475092290786,4.5942203299612325,0.5707786966141665
2000,estimated_crossfit,0.0035434577891533454,0.06360901447251836,5.100764858548558,0.5697081112992288
4000,estimated_full,0.002534965931553213,0.04791171268259178,5.309663534639067,0.5697625098598418
4000,estimated_crossfit,0.002673453666198156,0.050697416611597206,5.635759352313806,0.5692171860902123
8000,estimated_full,0.0016434885697054872,0.043840974475332674,5.2328302279337064,0.572479317660911
8000,estimated_crossfit,0.0016523833694641551,0.04539496757313064,5.549048886348314,0.5718086932371663
