hidden_confounding,selector,mean_selection_regret,p90_selection_regret,baseline_fallback_rate,oracle_selection_rate
0,point,0.0015455965219321095,0.004909718966843938,0.0,0.6666666666666666
0,sensitivity_guard,0.002046748846027594,0.0034072519113198256,1.0,0.0
0.5,point,0.0022291611435697376,0.005445006498637173,0.0,0.3333333333333333
0.5,sensitivity_guard,0.002046748846027594,0.0034072519113198256,1.0,0.0
1.0,point,0.004007168735710424,0.008377572853950964,0.0,0.16666666666666666
1.0,sensitivity_guard,0.002046748846027594,0.0034072519113198256,1.0,0.0
1.5,point,0.004145923172737528,0.008377572853950964,0.0,0.25
1.5,sensitivity_guard,0.002046748846027594,0.0034072519113198256,1.0,0.0
2.0,point,0.004145923172737528,0.008377572853950964,0.0,0.25
2.0,sensitivity_guard,0.002046748846027594,0.0034072519113198256,1.0,0.0
